game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Oct 3,WSN,L,5,7,,65-97,5,23.5,Rodriguez,Finnegan,Pivetta,3:46,D,33986,0,-----, BOS,Joan Adon (R),Chris Sale (L),L 187,O 9
161,Saturday Oct 2,WSN,L,3,5,,65-96,5,22.5,Davis,Rainey,Robles,3:53,D,41465,0,----, BOS,Josiah Gray (R),Tanner Houck (R),L 140,U 9.5
160,Friday Oct 1,WSN,L,2,4,,65-95,4,21.5,Rodriguez,Rogers,Robles,3:25,N,32521,0,---, BOS,Josh Rogers (L),Eduardo Rodriguez (L),L 182,U 9
159,Wednesday Sep 29,WSN,L,5,10,,65-94,5,21,Goudeau,Thompson,,3:57,D,20613,0,--, @ COL,Paolo Espino (R),Peter Lambert (R),L 110,O 11.5
158,Tuesday Sep 28,WSN,L,1,3,,65-93,4,20,Freeland,Corbin,Estevez,3:00,N,21693,0,-, @ COL,Patrick Corbin (L),Kyle Freeland (L),L 123,U 11.5
157,Monday Sep 27,WSN,W,5,4,,65-92,4,19,Gray,Marquez,Rainey,3:45,N,20388,0,+, @ COL,Josiah Gray (R),German Marquez (R),W 152,U 12
156,Sunday Sep 26,WSN,L,2,9,,64-92,5,19.5,Mahle,Rogers,,3:43,D,21328,0,---, @ CIN,Josh Rogers (L),Tyler Mahle (R),L 161,O 9.5
155,Saturday Sep 25,WSN,L-wo,6,7,,64-91,5,18.5,Givens,Murphy,,3:41,N,18293,0,--, @ CIN,Erick Fedde (R),Vladimir Gutierrez (R),L 112,O 9.5
154,Friday Sep 24,WSN,L-wo,7,8,11,64-90,5,17.5,Warren,Thompson,,4:24,N,16021,0,-, @ CIN,Paolo Espino (R),Sonny Gray (R),L 148,O 8.5
153,Thursday Sep 23,WSN,W,3,2,,64-89,5,16.5,Corbin,Castillo,Finnegan,3:09,N,11836,0,+++, @ CIN,Patrick Corbin (L),Luis Castillo (R),W 179,U 9
152,Wednesday Sep 22,WSN,W,7,5,,63-89,5,17.5,Gray,Hernandez,Rainey,3:17,N,5908,0,++, @ MIA,Josiah Gray (R),Elieser Hernandez (R),W 121,O 8
151,Tuesday Sep 21,WSN,W,7,1,,62-89,5,17.5,Rogers,Rogers,,3:02,N,5926,0,+, @ MIA,Josh Rogers (L),Trevor Rogers (L),W 128,O 7.5
150,Monday Sep 20,WSN,L-wo,7,8,10,61-89,5,17.5,Floro,Clay,,3:55,N,5383,0,-, @ MIA,Erick Fedde (R),Jesus Luzardo (L),L -110,O 8
149,Sunday Sep 19,WSN,W,3,0,,61-88,5,16.5,Espino,Gray,Finnegan,3:01,D,26303,0,+, COL,Paolo Espino (R),Jon Gray (R),W -103,U 8.5
148,Saturday Sep 18,WSN,L,0,6,,60-88,5,16.5,Freeland,Corbin,,3:06,D,29315,0,---, COL,Patrick Corbin (L),Kyle Freeland (L),L -122,U 9.5
147,Friday Sep 17,WSN,L,8,9,,60-87,5,16.5,Gilbreath,Finnegan,Estevez,4:04,N,21195,0,--, COL,Josiah Gray (R),German Marquez (R),L 103,O 9
146,Wednesday Sep 15,WSN,L,6,8,,60-86,5,16.5,Campbell,Finnegan,Floro,3:53,D,16309,0,-, MIA,Josh Rogers (L),Trevor Rogers (L),L 109,O 8.5
145,Tuesday Sep 14,WSN,W,8,2,,60-85,5,16.5,Fedde,Luzardo,,3:21,N,17030,0,+, MIA,Erick Fedde (R),Jesus Luzardo (L),W -147,O 8.5
144,Monday Sep 13,WSN,L,0,3,,59-85,5,17.5,Alcantara,Espino,Floro,2:36,N,19759,0,-, MIA,Paolo Espino (R),Sandy Alcantara (R),L 101,U 7.5
143,Sunday Sep 12,WSN,W,6,2,,59-84,5,17,Corbin,Wilson,Finnegan,3:06,D,9714,0,+, @ PIT,Patrick Corbin (L),Bryse Wilson (R),W -118,U 9
142,Saturday Sep 11,WSN,L,7,10,,58-84,5,17,Keller,Baldonado,Stratton,3:53,N,17993,0,---, @ PIT,Josiah Gray (R),Wil Crowe (R),L -135,O 9
141,Friday Sep 10,WSN,L-wo,3,4,,58-83,5,17,Kuhl,Murphy,,2:52,N,11808,0,--, @ PIT,Josh Rogers (L),Steven Brault (L),L 110,U 9
140,Thursday Sep 9,WSN,L-wo,6,7,10,58-82,5,16,Webb,Suero,,3:47,N,23657,0,-, @ ATL,Erick Fedde (R),Huascar Ynoa (R),L 200,O 9
139,Wednesday Sep 8,WSN,W,4,2,,58-81,4,15,Voth,Rodriguez,Finnegan,3:35,N,20074,0,+, @ ATL,Sean Nolin (L),Touki Toussaint (R),W 176,U 10
