game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
103,Monday Jul 22,TBR,L,4,9,,57-46,2,9,Rodriguez,Beeks,,3:20,N,10966,1.33,-, BOS,Jalen Beeks (L),Eduardo Rodriguez (L),L 115,O 8.5
102,Sunday Jul 21,TBR,W,4,2,,57-45,2,9,Snell,Cease,Kolarek,3:07,D,14987,1.06,+, CHW,Blake Snell (L),Dylan Cease (R),W -259,U 8
101,Saturday Jul 20,TBR,L,1,2,11,56-45,2,10,Fry,Kolarek,Colome,3:38,N,16338,1.14,-----, CHW,Ryan Yarbrough (L),Lucas Giolito (R),L -155,U 8
100,Friday Jul 19,TBR,L,2,9,,56-44,2,9,Lopez,McKay,,3:20,N,16971,1.21,----, CHW,Brendan McKay (L),Reynaldo Lopez (R),L -220,O 8.5
99,Thursday Jul 18 (2),TBR,L,1,5,,56-43,2,8,Cessa,Morton,,2:46,N,40504,1.66,---, @ NYY,Charlie Morton (R),Chad Green (R),L 108,U 9.5
98,Thursday Jul 18 (1),TBR,L,2,6,,56-42,2,8,German,Chirinos,,2:56,D,,1.79,--, @ NYY,Yonny Chirinos (R),Domingo German (R),L 150,U 9.5
97,Tuesday Jul 16,TBR,L,3,8,,56-41,2,6,Hale,Poche,,2:50,N,40401,1.88,-, @ NYY,Ryne Stanek (R),CC Sabathia (L),L 126,O 10.5
96,Monday Jul 15,TBR,W,5,4,,56-40,2,5,Kittredge,Chapman,Drake,3:42,N,43173,1.73,+++, @ NYY,Blake Snell (L),James Paxton (L),W 140,P 9
95,Sunday Jul 14,TBR,W,4,1,,55-40,2,6,Yarbrough,Eshelman,Pagan,2:45,D,14082,1.3,++, @ BAL,Ryne Stanek (R),Thomas Eshelman (R),W -210,U 10.5
94,Saturday Jul 13 (2),TBR,W,12,4,,54-40,2,6,Morton,Means,,3:02,N,24810,1.23,+, @ BAL,Charlie Morton (R),John Means (L),W -226,O 8.5
93,Saturday Jul 13 (1),TBR,L,1,2,,53-40,2,6,Bleier,Poche,Givens,3:02,D,22596,1.22,-, @ BAL,Brendan McKay (L),Aaron Brooks (R),L -230,U 10.5
92,Friday Jul 12,TBR,W,16,4,,53-39,2,6.5,Chirinos,Bundy,,2:49,N,22422,1.27,+++, @ BAL,Yonny Chirinos (R),Dylan Bundy (R),W -162,O 9.5
91,Sunday Jul 7,TBR,W,2,1,,52-39,2,6.5,Morton,Paxton,Pagan,2:59,D,20091,1.46,++, NYY,Charlie Morton (R),James Paxton (L),W -122,U 7.5
90,Saturday Jul 6,TBR,W-wo,4,3,,51-39,2,7.5,Poche,Green,,3:28,D,21477,1.4,+, NYY,Blake Snell (L),CC Sabathia (L),W -141,U 8.5
89,Friday Jul 5,TBR,L,4,8,11,50-39,2,8.5,Hale,Stanek,Chapman,3:46,N,22182,1.53,---, NYY,Brendan McKay (L),Masahiro Tanaka (R),L 101,O 8
88,Thursday Jul 4,TBR,L,4,8,10,50-38,2,7.5,Chapman,Drake,Hale,4:14,N,21974,1.64,--, NYY,Yonny Chirinos (R),J.A. Happ (L),L -105,O 9
87,Wednesday Jul 3,TBR,L,6,9,,50-37,2,6.5,Givens,Alvarado,Armstrong,3:11,N,21545,1.28,-, BAL,Ryne Stanek (R),John Means (L),L -207,O 8.5
86,Tuesday Jul 2,TBR,W,6,3,,50-36,2,5.5,Morton,Wojciechowski,,2:43,N,20925,1.25,++++, BAL,Charlie Morton (R),Asher Wojciechowski (R),W -293,O 8.5
85,Monday Jul 1,TBR,W,6,3,,49-36,2,6.5,Kolarek,Kline,Alvarado,3:11,N,20441,1.2,+++, BAL,Ryne Stanek (R),Thomas Eshelman (R),W -262,P 9
84,Sunday Jun 30,TBR,W,6,2,,48-36,2,7,Snell,Chavez,,2:28,D,11234,1.36,++, TEX,Blake Snell (L),Jesse Chavez (R),W -202,P 8
83,Saturday Jun 29,TBR,W,5,2,,47-36,2,7,McKay,Sampson,,2:56,D,16655,1.37,+, TEX,Brendan McKay (L),Adrian Sampson (R),W -184,U 8.5
82,Friday Jun 28,TBR,L,0,5,,46-36,2,7,Lynn,Chirinos,,2:48,N,13955,1.39,-, TEX,Yonny Chirinos (R),Lance Lynn (R),L -121,U 8
81,Thursday Jun 27,TBR,W,5,2,18,46-35,2,6.5,Yarbrough,Harper,,5:42,D,31317,1.24,+, @ MIN,Ryne Stanek (R),Martin Perez (L),W 103,U 10
80,Wednesday Jun 26,TBR,L,4,6,,45-35,2,7,May,Morton,Rogers,2:57,N,31650,1.28,--, @ MIN,Charlie Morton (R),Jake Odorizzi (R),L -114,O 9
