game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
84,Wednesday Jul 3,STL,W,5,2,,42-42,3,2.5,Brebbia,Adams,,2:58,N,31876,1.01,+, @ SEA,Adam Wainwright (R),Mike Leake (R),W -112,U 9
83,Tuesday Jul 2,STL,L,4,5,,41-42,3,3.5,Adams,Gallegos,Elias,3:18,N,20173,1.06,-, @ SEA,Jack Flaherty (R),Matt Carasiti (R),L -138,P 9
82,Sunday Jun 30,STL,W,5,3,11,41-41,3,3,Martinez,Wieck,Leone,4:07,D,32575,0.99,+, @ SD,Miles Mikolas (R),Joey Lucchesi (L),W 114,P 8
81,Saturday Jun 29,STL,L,2,12,,40-41,3,4,Paddack,Hudson,,3:05,N,44407,1.09,-----, @ SD,Dakota Hudson (R),Chris Paddack (R),L 117,O 8
80,Friday Jun 28,STL,L,1,3,,40-40,3,3,Quantrill,Wacha,Yates,2:49,N,33329,1.17,----, @ SD,Michael Wacha (R),Eric Lauer (L),L 122,U 9
79,Wednesday Jun 26,STL,L,0,2,,40-39,3,2.5,Mengden,Wainwright,Hendriks,2:46,N,44871,1.19,---, OAK,Adam Wainwright (R),Daniel Mengden (R),L -142,U 9.5
78,Tuesday Jun 25,STL,L,3,7,,40-38,3,2.5,Wendelken,Flaherty,,3:28,N,40556,1.2,--, OAK,Jack Flaherty (R),Chris Bassitt (R),L -159,O 8.5
77,Sunday Jun 23,STL,L,4,6,,40-37,3,2,Skaggs,Mikolas,,3:42,N,47114,1.36,-, LAA,Miles Mikolas (R),Tyler Skaggs (L),L -140,O 9
76,Saturday Jun 22,STL,W,4,2,,40-36,3,1,Hudson,Pena,Webb,2:59,D,46711,1.24,++, LAA,Dakota Hudson (R),Noe Ramirez (R),W -125,U 9.5
75,Friday Jun 21,STL,W,5,1,,39-36,3,2,Wacha,Canning,,3:24,N,48423,1.15,+, LAA,Michael Wacha (R),Griffin Canning (R),W 103,U 9.5
74,Thursday Jun 20,STL,L,6,7,11,38-36,3,3,Garcia,Miller,Romo,4:31,N,42446,1.22,-, MIA,Adam Wainwright (R),Zac Gallen (R),L -181,O 8
73,Wednesday Jun 19,STL,W-wo,2,1,11,38-35,3,2,Gant,Conley,,3:34,N,40126,1.17,+, MIA,Daniel Ponce de Leon (R),Trevor Richards (R),W -177,U 8.5
72,Tuesday Jun 18,STL,L,0,6,,37-35,3,2.5,Yamamoto,Flaherty,,2:43,N,41467,1.17,-, MIA,Jack Flaherty (R),Jordan Yamamoto (R),L -263,U 8
71,Monday Jun 17,STL,W,5,0,,37-34,3,2.5,Mikolas,Hernandez,,2:39,N,41274,1.12,++, MIA,Miles Mikolas (R),Elieser Hernandez (R),W -225,U 8
70,Sunday Jun 16,STL,W,4,3,,36-34,3,3.5,Miller,Flexen,Martinez,3:09,D,37054,1.1,+, @ NYM,Dakota Hudson (R),Jason Vargas (L),W -120,U 9
69,Saturday Jun 15,STL,L,7,8,,35-34,3,3.5,Syndergaard,Wacha,Diaz,3:33,N,32589,1.13,-, @ NYM,Michael Wacha (R),Noah Syndergaard (R),L 136,O 9
68,Friday Jun 14,STL,W,9,5,,35-33,3,3.5,Gant,Familia,,3:05,N,28560,1,++, @ NYM,Daniel Ponce de Leon (R),Steven Matz (L),W 115,O 8.5
67,Thursday Jun 13,STL,W,5,4,10,34-33,3,4.5,Martinez,Diaz,Hicks,3:02,N,31862,0.93,+, @ NYM,Jack Flaherty (R),Jacob deGrom (R),W 137,O 7
66,Wednesday Jun 12,STL,L,0,9,,33-33,3,5,Yamamoto,Mikolas,,2:34,N,7001,1,-, @ MIA,Miles Mikolas (R),Jordan Yamamoto (R),L -181,O 8
65,Tuesday Jun 11,STL,W,7,1,,33-32,3,4,Hudson,Hernandez,,3:12,N,6308,0.87,++, @ MIA,Dakota Hudson (R),Elieser Hernandez (R),W -145,O 7.5
64,Monday Jun 10,STL,W,4,1,,32-32,3,5,Wacha,Alcantara,Hicks,2:49,N,6585,0.8,+, @ MIA,Michael Wacha (R),Sandy Alcantara (R),W -129,U 8.5
63,Sunday Jun 9,STL,L,1,5,,31-32,3,5.5,Hendricks,Wainwright,Strop,2:48,N,39545,1.1,---, @ CHC,Adam Wainwright (R),Kyle Hendricks (R),L 161,U 8
62,Saturday Jun 8,STL,L,4,9,,31-31,3,4.5,Lester,Brebbia,,3:27,N,41005,1.21,--, @ CHC,Jack Flaherty (R),Jon Lester (L),L -107,O 8
61,Friday Jun 7,STL,L,1,3,,31-30,3,3.5,Hamels,Mikolas,Strop,2:39,D,40671,1.27,-, @ CHC,Miles Mikolas (R),Cole Hamels (L),L 109,U 7.5
60,Thursday Jun 6,STL,W,3,1,,31-29,3,2.5,Gant,Lorenzen,Hicks,2:58,D,44654,1.09,+, CIN,Dakota Hudson (R),Anthony DeSclafani (R),W -137,U 9.5
59,Tuesday Jun 4,STL,L,1,4,,30-29,3,3,Castillo,Cabrera,Iglesias,2:56,N,40649,1.11,-, CIN,Genesis Cabrera (L),Luis Castillo (R),L -105,U 8.5
58,Sunday Jun 2,STL,W,2,1,,30-28,3,3,Wainwright,Hamels,Gant,2:38,D,46053,1.2,++++, CHC,Adam Wainwright (R),Cole Hamels (L),W 100,U 9
57,Saturday Jun 1,STL,W,7,4,,29-28,3,3,Gant,Chatwood,Martinez,3:04,N,46297,1.14,+++, CHC,Jack Flaherty (R),Jose Quintana (L),W -156,O 9
56,Friday May 31,STL,W-wo,2,1,10,28-28,3,3.5,Hicks,Montgomery,,3:24,N,45321,1.07,++, CHC,Miles Mikolas (R),Yu Darvish (R),W -129,U 9
55,Thursday May 30,STL,W,5,3,,27-28,3,4.5,Hudson,Eickhoff,Hicks,3:01,D,31206,0.83,+, @ PHI,Dakota Hudson (R),Jerad Eickhoff (R),W -106,U 10.5
54,Wednesday May 29,STL,L,4,11,,26-28,4,5,Nola,Cabrera,,3:01,N,30486,0.89,---, @ PHI,Genesis Cabrera (L),Aaron Nola (R),L 161,O 10
53,Tuesday May 28,STL,L,3,4,,26-27,3,4,Pivetta,Wainwright,Neris,2:28,N,29084,0.95,--, @ PHI,Adam Wainwright (R),Nick Pivetta (R),L 107,U 10.5
52,Sunday May 26,STL,L,3,4,10,26-26,3,4.5,Webb,Webb,Jackson,4:07,N,45152,0.99,-, ATL,Jack Flaherty (R),Julio Teheran (R),L -136,U 9
51,Saturday May 25,STL,W,6,3,,26-25,3,4.5,Miller,Winkler,Hicks,2:40,N,45760,0.94,+, ATL,Dakota Hudson (R),Mike Soroka (R),W 103,U 9.5
50,Friday May 24,STL,L,2,5,,25-25,4,4.5,Foltynewicz,Mikolas,,2:44,N,44630,0.97,-, ATL,Miles Mikolas (R),Mike Foltynewicz (R),L -140,U 10
49,Wednesday May 22 (2),STL,W,10,3,,25-24,4,5,Wainwright,Bailey,,3:30,N,42529,0.85,+, KC,Adam Wainwright (R),Homer Bailey (R),W -194,O 9
48,Wednesday May 22 (1),STL,L,2,8,,24-24,4,5,Keller,Wacha,,2:44,D,42725,0.93,--, KC,Michael Wacha (R),Brad Keller (R),L -177,O 9.5
47,Sunday May 19,STL,L-wo,4,5,10,24-23,4,4.5,Gomez,Hicks,,3:41,D,32112,0.99,-, @ TEX,Jack Flaherty (R),Drew Smyly (L),L -163,U 11
46,Saturday May 18,STL,W,8,2,,24-22,4,3.5,Hudson,Jurado,,3:14,N,30967,0.94,+, @ TEX,Dakota Hudson (R),Ariel Jurado (R),W -113,U 12.5
45,Friday May 17,STL,L,3,7,,23-22,4,4.5,Sampson,Mikolas,,2:59,N,34398,0.98,---, @ TEX,Miles Mikolas (R),Jose Leclerc (R),L -160,U 11
44,Thursday May 16,STL,L,2,10,,23-21,3,3.5,Teheran,Wainwright,,3:16,N,28783,1.02,--, @ ATL,Adam Wainwright (R),Julio Teheran (R),L 104,O 10
43,Wednesday May 15,STL,L,0,4,,23-20,3,3.5,Soroka,Wacha,Jackson,2:40,N,23367,1.08,-, @ ATL,Michael Wacha (R),Mike Soroka (R),L 121,U 10
42,Tuesday May 14,STL,W,14,3,,23-19,3,3.5,Flaherty,Foltynewicz,,3:00,N,23718,1.07,+, @ ATL,Jack Flaherty (R),Mike Foltynewicz (R),W -123,O 9
41,Sunday May 12,STL,L,6,10,,22-19,3,3.5,Stratton,Brebbia,,3:29,D,48555,1.2,---, PIT,Dakota Hudson (R),Steven Brault (L),L -168,O 8.5
40,Saturday May 11,STL,L,1,2,,22-18,3,2.5,Lyles,Mikolas,Vazquez,2:42,D,43011,1.3,--, PIT,Miles Mikolas (R),Jordan Lyles (R),L -191,U 7.5
39,Friday May 10,STL,L,1,2,,22-17,3,1.5,Williams,Miller,Vazquez,2:54,N,45060,1.3,-, PIT,Adam Wainwright (R),Trevor Williams (R),L -157,U 8.5
38,Thursday May 9,STL,W,17,4,,22-16,3,1.5,Wacha,Musgrove,,3:30,N,38925,1.28,+, PIT,Michael Wacha (R),Joe Musgrove (R),W -145,O 8
37,Wednesday May 8,STL,L,0,5,,21-16,3,1.5,Eickhoff,Flaherty,,2:41,D,42309,1.23,--, PHI,Jack Flaherty (R),Jerad Eickhoff (R),L -150,U 8.5
36,Tuesday May 7,STL,L,1,11,,21-15,2,0.5,Nola,Hudson,,3:04,N,38562,1.26,-, PHI,Dakota Hudson (R),Aaron Nola (R),L 105,O 9
35,Monday May 6,STL,W,6,0,,21-14,1,up 0.5,Mikolas,Velasquez,,2:52,N,38419,1.19,+, PHI,Miles Mikolas (R),Vince Velasquez (R),W -123,U 9
34,Sunday May 5,STL,L,5,13,,20-14,2,0.5,Quintana,Wainwright,,3:21,N,36499,1.5,----, @ CHC,Adam Wainwright (R),Jose Quintana (L),L 105,O 10
33,Saturday May 4,STL,L,5,6,,20-13,1,up 0.5,Kintzler,Brebbia,Strop,3:03,D,39601,1.52,---, @ CHC,Michael Wacha (R),Yu Darvish (R),L 109,O 8.5
32,Friday May 3,STL,L,0,4,,20-12,1,up 1.5,Hendricks,Flaherty,,2:28,D,34978,1.51,--, @ CHC,Jack Flaherty (R),Kyle Hendricks (R),L -103,U 7
31,Thursday May 2,STL,L,1,2,,20-11,1,up 2.5,Strasburg,Hudson,Doolittle,3:00,N,24338,1.28,-, @ WAS,Dakota Hudson (R),Stephen Strasburg (R),L 142,U 8.5
30,Wednesday May 1,STL,W,5,1,,20-10,1,up 3.0,Mikolas,Scherzer,,3:02,N,22157,1.28,+++++, @ WAS,Miles Mikolas (R),Max Scherzer (R),W 128,U 7.5
29,Tuesday Apr 30,STL,W,3,2,,19-10,1,up 3.0,Wainwright,Sanchez,Miller,3:09,N,19753,1.25,++++, @ WAS,Adam Wainwright (R),Anibal Sanchez (R),W -117,U 9.5
28,Monday Apr 29,STL,W,6,3,,18-10,1,up 3.0,Wacha,Corbin,Hicks,3:05,N,17890,1.27,+++, @ WAS,Michael Wacha (R),Patrick Corbin (L),W 123,O 8.5
27,Sunday Apr 28,STL,W,5,2,,17-10,1,up 2.5,Flaherty,Gray,Gant,2:53,D,45701,1.33,++, CIN,Jack Flaherty (R),Sonny Gray (R),W -135,U 7.5
26,Saturday Apr 27,STL,W,6,3,,16-10,1,up 2.0,Hudson,Mahle,Hicks,2:32,D,44197,1.33,+, CIN,Dakota Hudson (R),Tyler Mahle (R),W -120,P 9
25,Friday Apr 26,STL,L,1,12,,15-10,1,up 2.0,DeSclafani,Mikolas,,2:55,N,45087,1.33,-, CIN,Miles Mikolas (R),Anthony DeSclafani (R),L -141,O 8.5
24,Wednesday Apr 24,STL,W,5,2,,15-9,1,up 2.0,Wainwright,Chacin,Hicks,2:51,D,36878,1.35,+++++, MIL,Adam Wainwright (R),Jhoulys Chacin (R),W -127,U 8
23,Tuesday Apr 23,STL,W,4,3,,14-9,1,up 1.0,Miller,Wilson,Hicks,3:00,N,38474,1.33,++++, MIL,Daniel Ponce de Leon (R),Zach Davies (R),W -116,U 9
22,Monday Apr 22,STL,W,13,5,,13-9,1,Tied,Flaherty,Houser,,3:12,N,35819,1.28,+++, MIL,Jack Flaherty (R),Adrian Houser (R),W -144,O 8.5
21,Sunday Apr 21,STL,W,6,4,,9-Dec,2,1,Hudson,Syndergaard,Hicks,3:07,D,42765,1.05,++, NYM,Dakota Hudson (R),Noah Syndergaard (R),W 122,O 9
20,Saturday Apr 20,STL,W,10,2,,9-Nov,3,2,Mikolas,Flexen,,2:45,D,47059,0.98,+, NYM,Miles Mikolas (R),Chris Flexen (R),W -139,O 9
19,Friday Apr 19,STL,L,4,5,,9-Oct,3,2,Lugo,Wainwright,Diaz,3:31,N,40413,1.09,-, NYM,Adam Wainwright (R),Jason Vargas (L),L -149,P 9
18,Wednesday Apr 17,STL,W,6,3,,8-Oct,3,1.5,Wacha,Burnes,Hicks,2:55,D,29817,1.24,+, @ MIL,Michael Wacha (R),Corbin Burnes (R),W 123,U 10
17,Tuesday Apr 16,STL,L,4,8,,8-Sep,3,2.5,Woodruff,Flaherty,,3:13,N,30260,1.27,--, @ MIL,Jack Flaherty (R),Brandon Woodruff (R),L 109,O 9
16,Monday Apr 15,STL,L,7,10,,7-Sep,2,1.5,Guerra,Mayers,,3:51,N,28199,1.31,-, @ MIL,Dakota Hudson (R),Freddy Peralta (R),L 128,O 9.5
15,Sunday Apr 14,STL,W,9,5,,6-Sep,2,0.5,Gant,Garrett,Hicks,3:19,D,16793,1.19,+, @ CIN NEUTRAL,Miles Mikolas (R),Anthony DeSclafani (R),W -121,O 10
14,Saturday Apr 13,STL,L,2,5,,6-Aug,2,1.5,Hughes,Wainwright,Iglesias,3:08,N,16886,1.19,-, @ CIN NEUTRAL,Adam Wainwright (R),Tanner Roark (R),L -110,U 11
13,Thursday Apr 11,STL,W,11,7,,5-Aug,1,Tied,Gallegos,Baez,,3:12,D,38200,1.07,+++++, LAD,Michael Wacha (R),Walker Buehler (R),W 118,O 8
12,Wednesday Apr 10,STL,W,7,2,,5-Jul,2,0.5,Flaherty,Maeda,,2:52,N,36244,1.03,++++, LAD,Jack Flaherty (R),Kenta Maeda (R),W -102,O 8
11,Tuesday Apr 9,STL,W,4,0,,5-Jun,2,1.5,Brebbia,Stripling,,3:17,N,36353,0.98,+++, LAD,Dakota Hudson (R),Ross Stripling (R),W 104,U 8.5
10,Monday Apr 8,STL,W,4,3,,5-May,3,2.5,Mikolas,Kelly,Hicks,2:41,N,35858,0.91,++, LAD,Miles Mikolas (R),Hyun Jin Ryu (L),W -110,U 8
9,Sunday Apr 7,STL,W,4,1,,5-Apr,3,3.5,Wainwright,Strahm,Hicks,3:08,D,44340,0.89,+, SD,Adam Wainwright (R),Matt Strahm (L),W -118,U 9
8,Saturday Apr 6,STL,L,4,6,,5-Mar,3,3.5,Wisler,Miller,Yates,3:37,D,44492,0.93,--, SD,Michael Wacha (R),Chris Paddack (R),L -119,O 7.5
7,Friday Apr 5,STL,L,3,5,,4-Mar,3,3.5,Stock,Reyes,Yates,2:54,D,46615,0.95,-, SD,Jack Flaherty (R),Nick Margevicius (L),L -179,O 7.5
6,Wednesday Apr 3,STL,W,5,4,10,3-Mar,2,2.5,Gant,Burdi,Hudson,3:30,N,23954,1.04,++, @ PIT,Miles Mikolas (R),Jameson Taillon (R),W -104,O 7.5
5,Monday Apr 1,STL,W,6,5,11,3-Feb,2,2,Hicks,Brault,Gant,4:50,D,37336,0.96,+, @ PIT,Adam Wainwright (R),Chris Archer (R),W 108,O 7.5
4,Sunday Mar 31,STL,L-wo,4,5,,3-Jan,5,2,Barnes,Hicks,,2:54,D,35042,1.03,--, @ MIL,Michael Wacha (R),Corbin Burnes (R),L -100,P 9
3,Saturday Mar 30,STL,L,2,4,,2-Jan,4,1,Woodruff,Hudson,Hader,3:07,N,36655,1.05,-, @ MIL,Dakota Hudson (R),Brandon Woodruff (R),L 120,U 9
2,Friday Mar 29,STL,W,9,5,,1-Jan,3,0.5,Gant,Williams,,3:41,N,30157,1.01,+, @ MIL,Jack Flaherty (R),Freddy Peralta (R),W -108,O 8.5
1,Thursday Mar 28,STL,L,4,5,,0-1,4,1,Chacin,Mikolas,Hader,2:36,D,45304,1.1,-, @ MIL,Miles Mikolas (R),Jhoulys Chacin (R),L 107,O 8.5
