game,date,result and moneyline
162,Sunday Oct 3,W 223
161,Saturday Oct 2,L 240
160,Friday Oct 1,L 235
159,Thursday Sep 30,W 162
158,Wednesday Sep 29,L 155
157,Tuesday Sep 28,L 134
156,Monday Sep 27,L 133
155,Sunday Sep 26,L 104
154,Saturday Sep 25,W -121
153,Friday Sep 24,L -102
152,Tuesday Sep 21,W 146
151,Monday Sep 20,W 199
150,Sunday Sep 19,W 236
149,Saturday Sep 18,W 166
148,Friday Sep 17,L 184
147,Thursday Sep 16,L 173
146,Wednesday Sep 15,W 206
145,Tuesday Sep 14,W 181
144,Sunday Sep 12,W 134
143,Saturday Sep 11,L 137
142,Friday Sep 10,W 145
141,Wednesday Sep 8,W 114
140,Tuesday Sep 7,L 102
139,Monday Sep 6,L -128
138,Sunday Sep 5,W 204
137,Saturday Sep 4,L 179
136,Friday Sep 3,W 156
135,Thursday Sep 2,L 185
134,Wednesday Sep 1,W 161
133,Tuesday Aug 31,L 102
132,Monday Aug 30,L 119
131,Sunday Aug 29,L 157
130,Saturday Aug 28,L 171
129,Friday Aug 27,W 148
128,Wednesday Aug 25,L 110
127,Tuesday Aug 24,W 208
126,Sunday Aug 22,W 239
125,Saturday Aug 21,L 217
124,Friday Aug 20,W 235
123,Thursday Aug 19,L 103
122,Wednesday Aug 18,L 118
121,Tuesday Aug 17,L -141
120,Sunday Aug 15,L 130
119,Saturday Aug 14,W -128
118,Friday Aug 13,L 107
117,Thursday Aug 12,W 136
116,Wednesday Aug 11,W -109
115,Tuesday Aug 10,W -127
114,Sunday Aug 8,L 142
113,Saturday Aug 7,W 132
112,Friday Aug 6,L 125
111,Thursday Aug 5,W 108
110,Wednesday Aug 4,L 140
109,Tuesday Aug 3,W 132
108,Sunday Aug 1,W -142
107,Saturday Jul 31,L -109
106,Friday Jul 30,L -152
105,Thursday Jul 29,W -148
104,Wednesday Jul 28,W 124
103,Tuesday Jul 27,W 165
102,Monday Jul 26,L 159
101,Sunday Jul 25,L -103
100,Saturday Jul 24,L 129
99,Friday Jul 23,L 104
98,Thursday Jul 22,W -138
97,Wednesday Jul 21,W -108
96,Tuesday Jul 20,W -111
95,Monday Jul 19,W -102
94,Sunday Jul 18,W 117
93,Saturday Jul 17 (2),W 155
92,Saturday Jul 17 (1),W 116
91,Sunday Jul 11,L 211
90,Saturday Jul 10,L 167
89,Friday Jul 9,L 213
88,Thursday Jul 8,L 124
87,Wednesday Jul 7,W 136
86,Tuesday Jul 6,L 161
85,Monday Jul 5,W 144
84,Sunday Jul 4,W 165
83,Saturday Jul 3,W -106
82,Friday Jul 2,L 132
80,Wednesday Jun 30 (1),W 122
79,Monday Jun 28,L 142
78,Sunday Jun 27,W 152
77,Saturday Jun 26 (2),L 203
76,Saturday Jun 26 (1),W 188
75,Thursday Jun 24,L 202
74,Wednesday Jun 23,W 107
73,Tuesday Jun 22,W 104
72,Sunday Jun 20,W 142
71,Saturday Jun 19,L 178
70,Friday Jun 18,L 188
69,Thursday Jun 17,L 197
68,Wednesday Jun 16,W 134
67,Tuesday Jun 15,W 121
66,Monday Jun 14,W 139
65,Sunday Jun 13,L 193
64,Saturday Jun 12,L 160
63,Friday Jun 11,L 134
62,Thursday Jun 10,W -112
61,Wednesday Jun 9,L -124
60,Tuesday Jun 8,W -136
59,Sunday Jun 6,L 181
58,Saturday Jun 5,W 201
57,Friday Jun 4,L 137
56,Thursday Jun 3,L 195
55,Tuesday Jun 1,W 153
54,Monday May 31,L 259
53,Sunday May 30,W 169
52,Saturday May 29,W 116
51,Friday May 28,W 248
50,Thursday May 27,L 152
49,Wednesday May 26,W 112
48,Tuesday May 25,L 134
47,Monday May 24,L -127
46,Sunday May 23,L 128
45,Saturday May 22,L 134
44,Friday May 21,W 148
43,Wednesday May 19,W 135
42,Tuesday May 18,W 102
41,Monday May 17,W 158
40,Sunday May 16,L 133
39,Saturday May 15,W 139
38,Friday May 14,L 132
37,Thursday May 13,W -105
36,Wednesday May 12,W 135
35,Tuesday May 11,W 118
34,Saturday May 8,W 163
33,Friday May 7,L 134
32,Thursday May 6,L 170
31,Wednesday May 5,W 163
30,Tuesday May 4,L 147
29,Sunday May 2,L 210
28,Saturday May 1,L 190
27,Friday Apr 30,L 368
26,Thursday Apr 29 (2),L 139
25,Thursday Apr 29 (1),L 184
24,Tuesday Apr 27,W 209
23,Monday Apr 26,L -106
22,Sunday Apr 25,L 105
21,Saturday Apr 24,L 103
20,Friday Apr 23,L 104
19,Thursday Apr 22,L -117
18,Wednesday Apr 21 (2),W -135
17,Wednesday Apr 21 (1),L -123
16,Sunday Apr 18,L 139
15,Saturday Apr 17,L 119
14,Friday Apr 16,L 173
13,Thursday Apr 15,L 165
12,Wednesday Apr 14,W 165
11,Tuesday Apr 13,W 168
10,Monday Apr 12,W 225
9,Sunday Apr 11,L 154
8,Saturday Apr 10,L 144
7,Friday Apr 9,L 169
6,Wednesday Apr 7,L 161
5,Tuesday Apr 6,W 132
4,Monday Apr 5,L 141
3,Sunday Apr 4,L 120
2,Saturday Apr 3,W 140
1,Thursday Apr 1,W 153
