game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
90,Saturday Jul 13,MIA,L,2,4,,34-56,5,20.5,Syndergaard,Anderson,Diaz,3:05,N,12963,0.01,-, NYM,Zac Gallen (R),Noah Syndergaard (R),L 122,U 7.5
89,Friday Jul 12,MIA,W,8,4,,34-55,5,19.5,Smith,Vargas,,2:57,N,11856,0.01,+, NYM,Caleb Smith (L),Jason Vargas (L),W -100,O 8
88,Sunday Jul 7,MIA,L,3,4,,33-55,5,19.5,Keuchel,Richards,Jackson,3:02,D,30514,0.01,-, @ ATL,Trevor Richards (R),Dallas Keuchel (L),L 205,U 9.5
87,Saturday Jul 6,MIA,W,5,4,,33-54,5,18.5,Smith,Fried,Romo,3:19,D,37216,0.01,+, @ ATL,Caleb Smith (L),Max Fried (L),W 196,P 9
86,Friday Jul 5,MIA,L-wo,0,1,,32-54,5,19.5,Jackson,Quijada,,3:00,N,41102,0.02,-----, @ ATL,Jordan Yamamoto (R),Julio Teheran (R),L 169,U 10
85,Thursday Jul 4,MIA,L,2,5,,32-53,5,18.5,Sanchez,Hernandez,Rodney,3:17,D,27350,0.02,----, @ WAS,Elieser Hernandez (R),Anibal Sanchez (R),L 169,U 10
84,Wednesday Jul 3,MIA,L,1,3,,32-52,5,17.5,Strasburg,Alcantara,Doolittle,3:07,N,25483,0.02,---, @ WAS,Sandy Alcantara (R),Stephen Strasburg (R),L 234,U 9.5
83,Tuesday Jul 2,MIA,L-wo,2,3,,32-51,5,16.5,Doolittle,Quijada,,3:01,N,21361,0.04,--, @ WAS,Zac Gallen (R),Patrick Corbin (L),L 186,U 9
82,Sunday Jun 30,MIA,L,6,13,,32-50,5,16.5,Arrieta,Richards,,3:36,D,11742,0.04,-, PHI,Trevor Richards (R),Jake Arrieta (R),L 127,O 8
81,Saturday Jun 29,MIA,W,9,6,,32-49,5,16.5,Garcia,Morgan,Romo,3:19,D,14774,0.04,++, PHI,Jordan Yamamoto (R),Zach Eflin (R),W 124,O 8
80,Friday Jun 28,MIA,W,6,2,,31-49,5,16.5,Hernandez,Velasquez,,2:56,N,9469,0.03,+, PHI,Elieser Hernandez (R),Vince Velasquez (R),W 131,U 8.5
79,Thursday Jun 27,MIA,L,5,8,,30-49,5,16.5,Strasburg,Alcantara,,2:51,N,7751,0.05,---, WAS,Sandy Alcantara (R),Stephen Strasburg (R),L 175,O 7.5
78,Wednesday Jun 26,MIA,L,5,7,,30-48,5,16.5,Corbin,Gallen,Doolittle,3:19,N,6276,0.07,--, WAS,Zac Gallen (R),Patrick Corbin (L),L 132,O 7.5
77,Tuesday Jun 25,MIA,L,1,6,,30-47,5,15.5,Scherzer,Richards,,2:27,N,7327,0.1,-, WAS,Trevor Richards (R),Max Scherzer (R),L 211,P 7
76,Sunday Jun 23,MIA,W,6,4,,30-46,5,15,Yamamoto,De Los Santos,Anderson,2:59,D,36749,0.08,++++, @ PHI,Jordan Yamamoto (R),Enyel De Los Santos (R),W 140,O 9
75,Saturday Jun 22,MIA,W,5,3,,29-46,5,15,Brice,Morgan,Quijada,2:43,D,44722,0.06,+++, @ PHI,Elieser Hernandez (R),Vince Velasquez (R),W 180,U 9
74,Friday Jun 21,MIA,W,2,1,,28-46,5,15,Alcantara,Nola,Romo,2:56,N,44420,0.05,++, @ PHI,Sandy Alcantara (R),Aaron Nola (R),W 225,U 8
73,Thursday Jun 20,MIA,W,7,6,11,27-46,5,16,Garcia,Miller,Romo,4:31,N,42446,0.03,+, @ STL,Zac Gallen (R),Adam Wainwright (R),W 167,O 8
72,Wednesday Jun 19,MIA,L-wo,1,2,11,26-46,5,16.5,Gant,Conley,,3:34,N,40126,0.04,-, @ STL,Trevor Richards (R),Daniel Ponce de Leon (R),L 163,U 8.5
71,Tuesday Jun 18,MIA,W,6,0,,26-45,5,15.5,Yamamoto,Flaherty,,2:43,N,41467,0.03,+, @ STL,Jordan Yamamoto (R),Jack Flaherty (R),W 239,U 8
70,Monday Jun 17,MIA,L,0,5,,25-45,5,16.5,Mikolas,Hernandez,,2:39,N,41274,0.05,--, @ STL,Elieser Hernandez (R),Miles Mikolas (R),L 205,U 8
69,Sunday Jun 16,MIA,L,4,5,,25-44,5,15.5,Rodriguez,Anderson,Vazquez,3:09,D,12472,0.05,-, PIT,Sandy Alcantara (R),Chris Archer (R),L 123,O 8
68,Saturday Jun 15,MIA,W,4,3,,25-43,5,14.5,Lopez,Hartlieb,Romo,2:46,N,11464,0.05,+, PIT,Pablo Lopez (R),Dario Agrazal (R),W -114,U 8
67,Friday Jun 14,MIA,L,0,11,,24-43,5,15.5,Brault,Richards,,2:56,N,8340,0.05,-, PIT,Trevor Richards (R),Steven Brault (L),L -117,O 8.5
66,Wednesday Jun 12,MIA,W,9,0,,24-42,5,14,Yamamoto,Mikolas,,2:34,N,7001,0.04,+, STL,Jordan Yamamoto (R),Miles Mikolas (R),W 167,O 8
65,Tuesday Jun 11,MIA,L,1,7,,23-42,5,14,Hudson,Hernandez,,3:12,N,6308,0.06,------, STL,Elieser Hernandez (R),Dakota Hudson (R),L 134,O 7.5
64,Monday Jun 10,MIA,L,1,4,,23-41,5,13,Wacha,Alcantara,Hicks,2:49,N,6585,0.07,-----, STL,Sandy Alcantara (R),Michael Wacha (R),L 119,U 8.5
63,Sunday Jun 9,MIA,L,6,7,12,23-40,5,13,Winkler,Conley,Tomlin,4:26,D,10959,0.12,----, ATL,Pablo Lopez (R),Max Fried (L),L 126,O 7.5
62,Saturday Jun 8,MIA,L,0,1,,23-39,5,13,Teheran,Richards,Jackson,2:57,D,9771,0.17,---, ATL,Trevor Richards (R),Julio Teheran (R),L 140,U 7.5
61,Friday Jun 7,MIA,L,1,7,,23-38,5,12,Soroka,Urena,,2:42,N,8589,0.22,--, ATL,Jose Urena (R),Mike Soroka (R),L 169,O 7.5
60,Thursday Jun 6,MIA,L,1,5,,23-37,5,11,Peralta,Smith,Hader,2:47,D,25409,0.24,-, @ MIL,Caleb Smith (L),Freddy Peralta (R),L 160,U 8.5
59,Wednesday Jun 5,MIA,W,8,3,,23-36,5,10.5,Alcantara,Nelson,,3:04,N,26615,0.2,++++, @ MIL,Sandy Alcantara (R),Jimmy Nelson (R),W 218,O 9
