game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
161,Saturday Oct 2,LAD,W,8,3,,105-56,2,1,Urias,Burnes,,2:53,N,49705,0.65,++++++, MIL,Julio Urias (L),Corbin Burnes (R),W -145,O 7
160,Friday Oct 1,LAD,W,8,6,,104-56,2,2,Treinen,Gustave,Jansen,3:38,N,51388,1.03,+++++, MIL,Clayton Kershaw (L),Eric Lauer (L),W -213,O 8
159,Thursday Sep 30,LAD,W,8,3,,103-56,2,2,Knebel,Velasquez,,2:55,N,52550,1.22,++++, SD,Tony Gonsolin (R),Vince Velasquez (R),W -228,O 9
158,Wednesday Sep 29,LAD,W,11,9,,102-56,2,2,Price,Pagan,Jansen,3:34,N,45366,1.29,+++, SD,Max Scherzer (R),Ryan Weathers (L),W -295,O 8
157,Tuesday Sep 28,LAD,W,2,1,,101-56,2,2,Buehler,Darvish,Treinen,3:04,N,52128,1.36,++, SD,Walker Buehler (R),Yu Darvish (R),W -187,U 7.5
156,Sunday Sep 26,LAD,W,3,0,,100-56,2,2,Urias,Mejia,Jansen,3:28,D,16648,1.46,+, @ ARI,Julio Urias (L),Humberto Mejia (R),W -276,U 9
155,Saturday Sep 25,LAD,L,2,7,,99-56,2,2,Gallen,Kershaw,,3:07,N,28026,2.01,-, @ ARI,Clayton Kershaw (L),Zac Gallen (R),L -253,O 8.5
154,Friday Sep 24,LAD,W,4,2,,99-55,2,1,Gonsolin,Castellanos,Jansen,2:59,N,19001,1.94,++, @ ARI,Tony Gonsolin (R),Humberto Castellanos (R),W -234,U 10.5
153,Thursday Sep 23,LAD,W,7,5,10,98-55,2,1,Jansen,Gilbreath,Treinen,4:01,D,22356,1.37,+, @ COL,Max Scherzer (R),Kyle Freeland (L),W -256,O 10.5
152,Wednesday Sep 22,LAD,L,5,10,,97-55,2,2,Stephenson,Bruihl,,3:25,N,27013,1.78,-, @ COL,Walker Buehler (R),German Marquez (R),L -184,O 10.5
151,Tuesday Sep 21,LAD,W,5,4,10,97-54,2,1,Jansen,Chacin,Vesia,3:30,N,23869,1.71,+++, @ COL,Julio Urias (L),Antonio Senzatela (R),W -200,U 11
150,Sunday Sep 19,LAD,W,8,5,,96-54,2,1,Kershaw,Miley,,3:09,D,26621,1.34,++, @ CIN,Clayton Kershaw (L),Wade Miley (L),W -187,O 9
149,Saturday Sep 18,LAD,W,5,1,,95-54,2,2,Scherzer,Gray,Jansen,3:05,D,29861,1.3,+, @ CIN,Max Scherzer (R),Sonny Gray (R),W -216,U 8
