game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
89,Wednesday Jul 7,SDP,L,5,15,,51-38,3,4.5,Corbin,Paddack,,3:32,N,26353,1.2,-,†WAS,Chris Paddack†(R),Patrick Corbin†(L),L†-171,O†8.5
88,Tuesday Jul 6,SDP,W,7,4,,51-37,3,3.5,Weathers,Fedde,Melancon,3:25,N,29977,1.18,+,†WAS,Ryan Weathers†(L),Erick Fedde†(R),W†-163,O†9
87,Monday Jul 5,SDP,L,5,7,,50-37,3,4.5,Suero,Hill,Hand,3:44,N,33168,1.13,-,†WAS,Joe Musgrove†(R),Jon Lester†(L),L†-248,O†8.5
86,Sunday Jul 4,SDP,W,11,1,,50-36,3,4.5,Adams,Velasquez,,3:45,D,25592,1.2,+,†@ PHI,Blake Snell†(L),Vince Velasquez†(R),W†-129,O†9
85,Saturday Jul 3,SDP,L,2,4,,49-36,3,4.5,Eflin,Darvish,Suarez,2:50,D,25053,1.23,---,†@ PHI,Yu Darvish†(R),Zach Eflin†(R),L†-152,U†8.5
84,Friday Jul 2,SDP,L-wo,3,4,10,49-35,3,3.5,Suarez,Adams,,3:09,N,22653,1.24,--,†@ PHI,Chris Paddack†(R),Zack Wheeler†(R),L†106,U†8.5
83,Thursday Jul 1,SDP,L-wo,4,5,,49-34,3,2.5,Warren,Melancon,,3:52,N,16620,1.27,-,†@ CIN,Ryan Weathers†(L),Luis Castillo†(R),L†118,U†9.5
82,Wednesday Jun 30,SDP,W,7,5,6,49-33,3,2.5,Musgrove,Guti√©rrez,Hill,2:03,N,12084,1.3,+++,†@ CIN,Joe Musgrove†(R),Vladimir Gutierrez†(R),W†-187,O†9.5
81,Tuesday Jun 29,SDP,W,5,4,,48-33,3,3,Pagan,Santillan,Melancon,3:50,N,16332,1.28,++,†@ CIN,Craig Stammen†(R),Tony Santillan†(R),W†-133,U†10.5
80,Sunday Jun 27,SDP,W,5,4,,47-33,3,4.5,Hill,Peacock,Melancon,3:27,D,34905,1.15,+,†ARI,Yu Darvish†(R),Zac Gallen†(R),W†-262,O†7.5
79,Saturday Jun 26,SDP,L,1,10,,46-33,3,5.5,Kelly,Lamet,,3:35,N,40557,1.18,-,†ARI,Dinelson Lamet†(R),Merrill Kelly†(R),L†-252,O†8
78,Friday Jun 25,SDP,W,11,5,,46-32,2,4.5,Ramirez,Martin,,3:31,N,32583,1.22,++++++++,†ARI,Chris Paddack†(R),Corbin Martin†(R),W†-324,O†8.5
77,Wednesday Jun 23,SDP,W,5,3,,45-32,3,4.5,Hill,Treinen,Melancon,3:30,N,43691,1.45,+++++++,†LAD,Joe Musgrove†(R),Trevor Bauer†(R),W†-112,O†7.5
76,Tuesday Jun 22,SDP,W,3,2,,44-32,3,4.5,Snell,Kershaw,Melancon,3:09,N,42667,1.42,++++++,†LAD,Blake Snell†(L),Clayton Kershaw†(L),W†116,U†7.5
75,Monday Jun 21,SDP,W,6,2,,43-32,3,4.5,Darvish,Urias,,3:38,N,42220,1.4,+++++,†LAD,Yu Darvish†(R),Julio Urias†(L),W†-136,O†7
74,Sunday Jun 20,SDP,W,3,2,,42-32,3,5,Lamet,Castillo,Melancon,3:00,D,38004,1.24,++++,†CIN,Dinelson Lamet†(R),Luis Castillo†(R),W†-121,U†7.5
73,Saturday Jun 19,SDP,W,7,5,,41-32,3,5,Crismatt,Hembree,Melancon,3:24,D,38765,1.23,+++,†CIN,Miguel Diaz†(R),Vladimir Gutierrez†(R),W†-151,O†9
72,Friday Jun 18,SDP,W,8,2,,40-32,3,6,Paddack,Santillan,,3:33,N,33456,1.21,++,†CIN,Chris Paddack†(R),Tony Santillan†(R),W†-190,O†8.5
