game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
34,Monday May 6,PHI,L,0,6,,19-15,1,up 1.5,Mikolas,Velasquez,,2:52,N,38419,1.26,-, @ STL,Vince Velasquez (R),Miles Mikolas (R),L 113,U 9
33,Sunday May 5,PHI,W,7,1,,19-14,1,up 1.5,Eflin,Sanchez,,3:03,D,40497,1.4,+, WAS,Zach Eflin (R),Anibal Sanchez (R),W -173,U 8.5
32,Saturday May 4,PHI,L,8,10,,18-14,1,up 1.5,Sipp,Morgan,Doolittle,3:45,N,43319,1.41,-, WAS,Jake Arrieta (R),Patrick Corbin (L),L -107,O 8
31,Friday May 3,PHI,W,4,2,,18-13,1,up 2.5,Dominguez,Jennings,Neris,2:42,N,33125,1.4,++, WAS,Jerad Eickhoff (R),Jeremy Hellickson (R),W -172,U 9
30,Wednesday May 1,PHI,W,7,3,,17-13,1,up 2.0,Dominguez,Farmer,,3:16,N,28103,1.15,+, DET,Aaron Nola (R),Daniel Norris (L),W -235,O 8
29,Tuesday Apr 30,PHI,L,1,3,,16-13,1,up 1.0,Turnbull,Velasquez,Greene,3:10,N,31759,1.18,-, DET,Vince Velasquez (R),Spencer Turnbull (R),L -193,U 8.5
28,Sunday Apr 28,PHI,W,5,1,,16-12,1,up 1.5,Eflin,Lopez,,2:34,D,39168,1.25,+++, MIA,Zach Eflin (R),Pablo Lopez (R),W -158,U 7.5
27,Saturday Apr 27,PHI,W,12,9,,15-12,1,up 1.5,Arrieta,Richards,Neris,3:38,N,37868,1.25,++, MIA,Jake Arrieta (R),Trevor Richards (R),W -192,O 8
26,Friday Apr 26,PHI,W,4,0,,14-12,1,up 0.5,Eickhoff,Urena,,2:47,N,31158,1.12,+, MIA,Jerad Eickhoff (R),Jose Urena (R),W -181,U 8.5
25,Thursday Apr 25,PHI,L,1,3,10,13-12,2,0.5,Guerrero,Neris,Romo,3:35,N,32060,1.15,-, MIA,Aaron Nola (R),Caleb Smith (L),L -188,U 7.5
24,Wednesday Apr 24,PHI,W,6,0,,13-11,1,Tied,Velasquez,Vargas,,3:21,N,27685,1.29,+, @ NYM,Vince Velasquez (R),Jason Vargas (L),W -133,U 9
23,Tuesday Apr 23,PHI,L,0,9,,11-Dec,2,1,Wheeler,Eflin,,2:43,N,26049,1.35,---, @ NYM,Zach Eflin (R),Zack Wheeler (R),L 118,P 9
22,Monday Apr 22,PHI,L,1,5,,10-Dec,1,Tied,Matz,Arrieta,,2:46,N,25293,1.36,--, @ NYM,Jake Arrieta (R),Steven Matz (L),L -102,U 9
