game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Oct 3,CHC,W,3,2,7,71-91,4,24,Biagini,Woodford,,2:11,D,46525,0,++,†@ STL,Alec Mills†(R),Jake Woodford†(R),W†146,U†8.5
161,Saturday Oct 2,CHC,W,6,5,,70-91,4,25,Adam,Garcia,Wick,3:25,N,45239,0,+,†@ STL,Adrian Sampson†(R),Jon Lester†(L),W†167,O†9
160,Friday Oct 1,CHC,L-wo,3,4,,69-91,4,26,Gallegos,Nance,,3:25,N,41618,0,-,†@ STL,Cory Abbott†(R),Dakota Hudson†(R),L†192,U†8
159,Thursday Sep 30,CHC,W,9,0,,69-90,4,26,Steele,Yajure,,2:49,N,10152,0,++,†@ PIT,Justin Steele†(L),Miguel Yajure†(R),W†-107,O†8.5
158,Wednesday Sep 29,CHC,W,3,2,,68-90,4,27,Morgan,Shreve,Heuer,3:44,N,9236,0,+,†@ PIT,Kyle Hendricks†(R),Roansy Contreras†(R),W†-125,U†8.5
157,Tuesday Sep 28,CHC,L,6,8,,67-90,4,27,De Los Santos,Morgan,Stratton,3:04,N,9218,0,-------,†@ PIT,Alec Mills†(R),Mitch Keller†(R),L†-103,O†8.5
156,Sunday Sep 26,CHC,L,2,4,,67-89,4,27,Cabrera,Heuer,Gallegos,3:36,D,26547,0,------,†STL,Keegan Thompson†(R),Jake Woodford†(R),L†130,U†11
155,Saturday Sep 25,CHC,L,5,8,,67-88,4,26,Kim,Heuer,,3:18,D,32918,0,-----,†STL,Adrian Sampson†(R),Jon Lester†(L),L†129,O†10
154,Friday Sep 24 (2),CHC,L,4,12,7,67-87,4,25,Hudson,Davies,,2:41,N,35020,0,----,†STL,Zach Davies†(R),Jack Flaherty†(R),L†160,O†9
153,Friday Sep 24 (1),CHC,L,5,8,7,67-86,4,25,Reyes,Steele,Gallegos,2:39,D,29030,0,---,†STL,Justin Steele†(L),J.A. Happ†(L),L†122,O†9
152,Wednesday Sep 22,CHC,L,4,5,,67-85,4,24,Ryan,Hendricks,Colome,3:02,N,24402,0,--,†MIN,Kyle Hendricks†(R),Joe Ryan†(R),L†101,O†7
151,Tuesday Sep 21,CHC,L,5,9,,67-84,4,24,Barraclough,Mills,,4:05,N,25594,0,-,†MIN,Alec Mills†(R),Griffin Jax†(R),L†-118,O†8
150,Sunday Sep 19,CHC,W,6,4,,67-83,4,24.5,Morgan,Boxberger,Rucker,3:46,D,34213,0,+,†@ MIL,Keegan Thompson†(R),Eric Lauer†(L),W†195,O†9
149,Saturday Sep 18,CHC,L,4,6,,66-83,4,25.5,Williams,Effross,Hader,3:35,N,33625,0,----,†@ MIL,Justin Steele†(L),Corbin Burnes†(R),L†281,O†7.5
148,Friday Sep 17,CHC,L,5,8,,66-82,4,24.5,Ashby,Wick,Hader,3:45,N,28483,0,---,†@ MIL,Zach Davies†(R),Adrian Houser†(R),L†197,O†9
147,Thursday Sep 16,CHC,L,8,17,,66-81,4,23.5,Neris,Rodriguez,,3:58,N,20208,0,--,†@ PHI,Kyle Hendricks†(R),Cam Bedrosian†(R),L†138,O†9
146,Wednesday Sep 15,CHC,L-wo,5,6,,66-80,4,23,Kennedy,Megill,,3:12,N,16299,0,-,†@ PHI,Alec Mills†(R),Ranger Suarez†(L),L†182,O†9
145,Tuesday Sep 14,CHC,W,6,3,,66-79,4,23,Sampson,Gibson,Wick,3:24,N,16170,0,+,†@ PHI,Adrian Sampson†(R),Kyle Gibson†(R),W†173,U†9.5
144,Sunday Sep 12,CHC,L,5,6,,65-79,4,24,Webb,Steele,McGee,3:02,D,32021,0,---,†SF,Justin Steele†(L),Logan Webb†(R),L†191,O†9
143,Saturday Sep 11,CHC,L,4,15,,65-78,4,23,Gausman,Davies,Baragar,3:47,D,34723,0,--,†SF,Zach Davies†(R),Kevin Gausman†(R),L†190,O†10.5
142,Friday Sep 10,CHC,L,1,6,,65-77,4,22,Doval,Megill,,3:04,D,29439,0,-,†SF,Kyle Hendricks†(R),Dominic Leone†(R),L†130,U†9.5
141,Wednesday Sep 8,CHC,W-wo,4,1,10,65-76,4,21,Heuer,Brach,,2:49,N,25861,0,+,†CIN,Alec Mills†(R),Vladimir Gutierrez†(R),W†-102,U†9
140,Tuesday Sep 7,CHC,L,3,4,,64-76,4,21,Miley,Sampson,Givens,2:49,N,24925,0,-,†CIN,Adrian Sampson†(R),Wade Miley†(L),L†130,U†9.5
139,Monday Sep 6,CHC,W,4,3,,64-75,4,20,Effross,Lorenzen,Morgan,2:45,D,27289,0,+++++++,†CIN,Justin Steele†(L),Sonny Gray†(R),W†139,U†8
138,Sunday Sep 5,CHC,W,11,8,,63-75,4,21,Alzolay,Howard,Wick,4:12,D,30155,0,++++++,†PIT,Zach Davies†(R),Wil Crowe†(R),W†-140,O†9.5
137,Saturday Sep 4,CHC,W-wo,7,6,,62-75,4,21,Effross,Stratton,,3:42,D,30020,0,+++++,†PIT,Kyle Hendricks†(R),JT Brubaker†(R),W†-144,O†8.5
136,Friday Sep 3,CHC,W,6,5,,61-75,4,21,Megill,Miller,Wick,3:02,D,24441,0,++++,†PIT,Alec Mills†(R),Steven Brault†(L),W†-144,O†8.5
135,Thursday Sep 2,CHC,W-wo,6,5,11,60-75,4,22,Heuer,Howard,,3:55,N,26963,0,+++,†PIT,Keegan Thompson†(R),Mitch Keller†(R),W†-119,O†8
134,Wednesday Sep 1,CHC,W,3,0,,59-75,4,23,Steele,Ryan,Alzolay,2:28,N,21784,0,++,†@ MIN,Justin Steele†(L),Joe Ryan†(R),W†162,U†9
133,Tuesday Aug 31,CHC,W,3,1,,58-75,4,23,Rodriguez,Gant,Wick,3:34,N,22224,0,+,†@ MIN,Zach Davies†(R),John Gant†(R),W†139,U†9.5
132,Sunday Aug 29,CHC,L,1,13,,57-75,4,22.5,Cease,Hendricks,,3:00,D,38565,0,-,†@ CHW,Kyle Hendricks†(R),Dylan Cease†(R),L†229,O†9
131,Saturday Aug 28,CHC,W,7,0,,57-74,4,21.5,Mills,Lynn,,2:45,N,38668,0,+,†@ CHW,Alec Mills†(R),Lance Lynn†(R),W†271,U†9
130,Friday Aug 27,CHC,L,13,17,,56-74,4,22.5,Lopez,Sampson,,4:09,N,37892,0,--,†@ CHW,Keegan Thompson†(R),Dallas Keuchel†(L),L†190,O†9.5
129,Wednesday Aug 25 (2),CHC,L,10,13,10,56-73,4,23,Bowden,Jewell,,4:18,N,24936,0,-,†COL,Justin Steele†(L),German Marquez†(R),L†128,O†7
128,Wednesday Aug 25 (1),CHC,W,5,2,7,56-72,4,23,Heuer,Gomber,Morgan,2:09,D,24161,0,++,†COL,Zach Davies†(R),Austin Gomber†(L),W†122,P†7
127,Monday Aug 23,CHC,W-wo,6,4,,55-72,4,22,Rodriguez,Bard,,2:58,N,25577,0,+,†COL,Kyle Hendricks†(R),Antonio Senzatela†(R),W†-123,O†8.5
126,Sunday Aug 22,CHC,L,1,9,,54-72,4,22.5,Hernandez,Mills,,3:25,D,29640,0,---,†KC,Alec Mills†(R),Carlos Hernandez†(R),L†-110,O†8
125,Saturday Aug 21,CHC,L,2,4,,54-71,4,21.5,Bubic,Thompson,Barlow,3:02,D,34005,0,--,†KC,Keegan Thompson†(R),Kris Bubic†(L),L†-126,U†9.5
124,Friday Aug 20,CHC,L,2,6,,54-70,4,20.5,Keller,Davies,,2:55,D,31835,0,-,†KC,Zach Davies†(R),Brad Keller†(R),L†-102,U†8.5
123,Wednesday Aug 18,CHC,W,7,1,,54-69,4,21,Rodriguez,Mahle,,3:01,D,16922,0,++,†@ CIN,Adrian Sampson†(R),Tyler Mahle†(R),W†284,U†9.5
122,Tuesday Aug 17,CHC,W,2,1,,53-69,4,21,Hendricks,Guti√©rrez,Heuer,2:45,N,13989,0,+,†@ CIN,Kyle Hendricks†(R),Vladimir Gutierrez†(R),W†172,U†9.5
121,Monday Aug 16,CHC,L,5,14,,52-69,4,21,Miley,Steele,,3:37,N,15404,0,------------,†@ CIN,Justin Steele†(L),Wade Miley†(L),L†173,O†9.5
120,Sunday Aug 15,CHC,L,1,4,,52-68,4,20.5,Campbell,Mills,Floro,3:21,D,10262,0,-----------,†@ MIA,Alec Mills†(R),Elieser Hernandez†(R),L†128,U†7
119,Saturday Aug 14,CHC,L,4,5,,52-67,4,19.5,Floro,Heuer,Bender,3:03,N,11225,0,----------,†@ MIA,Zach Davies†(R),Zach Thompson†(R),L†150,O†8
118,Friday Aug 13,CHC,L,10,14,,52-66,4,19,Luzardo,Alzolay,,4:14,N,11728,0.01,---------,†@ MIA,Adbert Alzolay†(R),Jesus Luzardo†(L),L†107,O†7.5
117,Thursday Aug 12,CHC,L,4,17,,52-65,4,18.5,Strickland,Hendricks,,4:00,D,32502,0.01,--------,†MIL,Kyle Hendricks†(R),Brandon Woodruff†(R),L†186,O†8.5
116,Wednesday Aug 11,CHC,L,0,10,,52-64,4,17.5,Burnes,Arrieta,,2:58,N,29619,0.01,-------,†MIL,Jake Arrieta†(R),Corbin Burnes†(R),L†230,P†10
115,Tuesday Aug 10 (2),CHC,L,3,6,7,52-63,4,16.5,Sanchez,Winkler,Suter,2:55,N,28674,0.03,------,†MIL,Alec Mills†(R),Aaron Ashby†(L),L†132,O†8
