game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Oct 3,PHI,L,4,5,,82-80,2,6.5,Thompson,Neris,Floro,2:46,D,9149,0,--, @ MIA,Bailey Falter (L),Pablo Lopez (R),L -107,O 7.5
161,Saturday Oct 2,PHI,L,1,3,,82-79,2,5.5,Luzardo,Crouse,Floro,2:52,N,9655,0,-, @ MIA,Hans Crouse (R),Jesus Luzardo (L),L -118,U 8
160,Friday Oct 1,PHI,W,5,0,,82-78,2,4.5,Suarez,Alcantara,,3:01,N,8469,0,+, @ MIA,Ranger Suarez (L),Sandy Alcantara (R),W -110,U 6.5
159,Thursday Sep 30,PHI,L,3,5,,81-78,2,5.5,Anderson,Gibson,Smith,2:53,N,38235,0,----, @ ATL,Kyle Gibson (R),Ian Anderson (R),L 142,U 8.5
158,Wednesday Sep 29,PHI,L,2,7,,81-77,2,4.5,Fried,Nola,,3:05,N,27664,0.74,---, @ ATL,Aaron Nola (R),Max Fried (L),L 137,O 8
157,Tuesday Sep 28,PHI,L,1,2,,81-76,2,3.5,Morton,Wheeler,Smith,2:46,N,29238,2.89,--, @ ATL,Zack Wheeler (R),Charlie Morton (R),L 109,U 7.5
156,Sunday Sep 26,PHI,L,0,6,,81-75,2,2.5,Kranick,Crouse,,3:31,D,29336,2.51,-, PIT,Hans Crouse (R),Max Kranick (R),L -224,U 9
155,Saturday Sep 25,PHI,W,3,0,,81-74,2,1.5,Suarez,Crowe,,2:33,D,28135,2.51,+++++, PIT,Ranger Suarez (L),Wil Crowe (R),W -275,U 8.5
154,Friday Sep 24,PHI,W,8,6,,80-74,2,1.5,Neris,Shreve,Kennedy,3:39,N,20548,1.78,++++, PIT,Kyle Gibson (R),Sam Howard (L),W -228,O 9
153,Thursday Sep 23,PHI,W,12,6,,79-74,2,1.5,Nola,Banda,,3:21,N,16154,,+++, PIT,Aaron Nola (R),Connor Overton (R),W -261,O 8.5
152,Wednesday Sep 22,PHI,W,4,3,,78-74,2,2.5,Alvarado,Greene,Kennedy,3:19,N,18133,1.3,++, BAL,Zack Wheeler (R),Keegan Akin (L),W -345,U 8
151,Tuesday Sep 21,PHI,W-wo,3,2,10,77-74,2,2.5,Kennedy,Valdez,,3:40,N,18955,1.33,+, BAL,Adonis Medina (R),Conner Greene (R),W -209,U 9.5
150,Monday Sep 20,PHI,L,0,2,,76-74,2,2.5,Means,Suarez,Wells,2:49,N,21440,2.06,--, BAL,Ranger Suarez (L),John Means (L),L -198,U 7.5
149,Sunday Sep 19,PHI,L,2,3,,76-73,2,1.5,Loup,Gibson,Diaz,3:34,N,24832,2.57,-, @ NYM,Kyle Gibson (R),Rich Hill (L),L 126,U 8
148,Saturday Sep 18,PHI,W,5,3,,76-72,2,0.5,Nola,Carrasco,Kennedy,3:35,N,33442,2.13,++++, @ NYM,Aaron Nola (R),Carlos Carrasco (R),W -104,P 8
147,Friday Sep 17,PHI,W,4,3,,75-72,2,1.5,Wheeler,Walker,Kennedy,3:52,N,26967,1.65,+++, @ NYM,Zack Wheeler (R),Taijuan Walker (R),W -121,U 7.5
146,Thursday Sep 16,PHI,W,17,8,,74-72,2,2.5,Neris,Rodriguez,,3:58,N,20208,1.33,++, CHC,Cam Bedrosian (R),Kyle Hendricks (R),W -150,O 9
145,Wednesday Sep 15,PHI,W-wo,6,5,,73-72,2,3,Kennedy,Megill,,3:12,N,16299,1.09,+, CHC,Ranger Suarez (L),Alec Mills (R),W -200,O 9
144,Tuesday Sep 14,PHI,L,3,6,,72-72,2,4,Sampson,Gibson,Wick,3:24,N,16170,1.18,--, CHC,Kyle Gibson (R),Adrian Sampson (R),L -190,U 9.5
143,Sunday Sep 12,PHI,L,4,5,,72-71,2,4,Goudeau,Neris,Estevez,3:27,D,24099,1.62,-, COL,Aaron Nola (R),Ryan Feltner (R),L -275,P 9
142,Saturday Sep 11,PHI,W,6,1,,72-70,2,3,Wheeler,Freeland,,3:17,N,23232,1.05,+, COL,Zack Wheeler (R),Kyle Freeland (L),W -221,U 7.5
141,Friday Sep 10,PHI,L,2,11,,71-70,2,4,Marquez,Falter,,3:39,N,22138,1.52,----, COL,Sam Coonrod (R),German Marquez (R),L -149,O 8.5
140,Thursday Sep 9,PHI,L,3,4,,71-69,2,3,Gilbreath,Kennedy,Estevez,3:00,N,18071,1.84,---, COL,Ranger Suarez (L),Antonio Senzatela (R),L -180,U 8
139,Wednesday Sep 8,PHI,L,3,4,,71-68,2,2,Ashby,Brogdon,Hader,3:29,N,20654,1.92,--, @ MIL,Kyle Gibson (R),Freddy Peralta (R),L 145,U 8
138,Tuesday Sep 7,PHI,L,0,10,,71-67,2,2,Lauer,Nola,,3:05,N,22955,2.15,-, @ MIL,Aaron Nola (R),Eric Lauer (L),L 101,O 8.5
137,Monday Sep 6,PHI,W,12,0,,71-66,2,1,Wheeler,Woodruff,,3:21,D,30192,1.97,++, @ MIL,Zack Wheeler (R),Brandon Woodruff (R),W 120,O 7
136,Sunday Sep 5,PHI,W,4,3,10,70-66,2,1.5,Kennedy,Floro,,3:40,D,8082,1.89,+, @ MIA,Sam Coonrod (R),Elieser Hernandez (R),W -104,U 7.5
135,Saturday Sep 4,PHI,L,2,3,,69-66,2,1.5,Bass,Bradley,Floro,3:06,N,9256,1.9,--, @ MIA,Ranger Suarez (L),Trevor Rogers (L),L -118,U 7.5
134,Friday Sep 3,PHI,L,3,10,,69-65,2,1.5,Okert,Gibson,,3:08,N,7073,1.9,-, @ MIA,Kyle Gibson (R),Jesus Luzardo (L),L -146,O 7.5
133,Thursday Sep 2,PHI,W,7,6,,69-64,2,1.5,Coonrod,Machado,Kennedy,3:52,D,12280,1.82,++++++, @ WAS,Aaron Nola (R),Paolo Espino (R),W -156,O 8.5
132,Tuesday Aug 31,PHI,W,12,6,,68-64,2,2,Falter,Corbin,,3:50,N,16844,1.44,+++++, @ WAS,Matt Moore (L),Patrick Corbin (L),W 117,O 9.5
131,Monday Aug 30,PHI,W,7,4,,67-64,2,3,Wheeler,Gray,Alvarado,3:37,N,17353,1.17,++++, @ WAS,Zack Wheeler (R),Josiah Gray (R),W -138,O 8
130,Sunday Aug 29,PHI,W,7,4,,66-64,2,4,Suarez,Bumgarner,Kennedy,3:25,D,22237,1.07,+++, ARI,Ranger Suarez (L),Madison Bumgarner (L),W -175,O 8.5
129,Saturday Aug 28,PHI,W,7,0,,65-64,2,4,Gibson,Mejia,,2:57,N,24692,0.81,++, ARI,Kyle Gibson (R),Humberto Mejia (R),W -194,U 8.5
128,Friday Aug 27,PHI,W-wo,7,6,11,64-64,2,5,De Los Santos,Clarke,,4:12,N,23181,0.85,+, ARI,Aaron Nola (R),Taylor Widener (R),W -258,O 8.5
