game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Oct 3,STL,L,2,3,7,90-72,2,5,Biagini,Woodford,,2:11,D,46525,0.03,--,†CHC,Jake Woodford†(R),Alec Mills†(R),L†-159,U†8.5
161,Saturday Oct 2,STL,L,5,6,,90-71,2,5,Adam,Garcia,Wick,3:25,N,45239,0.05,-,†CHC,Jon Lester†(L),Adrian Sampson†(R),L†-183,O†9
160,Friday Oct 1,STL,W-wo,4,3,,90-70,2,5,Gallegos,Nance,,3:25,N,41618,0.03,++,†CHC,Dakota Hudson†(R),Cory Abbott†(R),W†-211,U†8
159,Thursday Sep 30,STL,W,4,3,,89-70,2,6,Happ,Sanchez,Garcia,2:41,D,29161,0.02,+,†MIL,J.A. Happ†(L),Brett Anderson†(L),W†-112,U†8.5
158,Wednesday Sep 29,STL,L,0,4,,88-70,2,7,Houser,Mikolas,,2:48,N,35283,0.03,-,†MIL,Miles Mikolas†(R),Adrian Houser†(R),L†-109,U†7.5
157,Tuesday Sep 28,STL,W,6,2,,88-69,2,6,Wainwright,Gustave,,2:54,N,35726,0.03,+++++++++++++++++,†MIL,Adam Wainwright†(R),Brandon Woodruff†(R),W†102,O†7
156,Sunday Sep 26,STL,W,4,2,,87-69,2,7,Cabrera,Heuer,Gallegos,3:36,D,26547,0.05,++++++++++++++++,†@ CHC,Jake Woodford†(R),Keegan Thompson†(R),W†-141,U†11
155,Saturday Sep 25,STL,W,8,5,,86-69,2,7,Kim,Heuer,,3:18,D,32918,0.07,+++++++++++++++,†@ CHC,Jon Lester†(L),Adrian Sampson†(R),W†-140,O†10
154,Friday Sep 24 (2),STL,W,12,4,7,85-69,2,7,Hudson,Davies,,2:41,N,35020,0.11,++++++++++++++,†@ CHC,Jack Flaherty†(R),Zach Davies†(R),W†-175,O†9
153,Friday Sep 24 (1),STL,W,8,5,7,84-69,2,7,Reyes,Steele,Gallegos,2:39,D,29030,0.18,+++++++++++++,†@ CHC,J.A. Happ†(L),Justin Steele†(L),W†-132,O†9
152,Thursday Sep 23,STL,W,8,5,,83-69,2,7.5,McFarland,Ashby,Gallegos,3:31,D,30804,0.35,++++++++++++,†@ MIL,Adam Wainwright†(R),Adrian Houser†(R),W†110,O†7.5
151,Wednesday Sep 22,STL,W,10,2,,82-69,2,8.5,Mikolas,Anderson,,2:57,N,29635,0.57,+++++++++++,†@ MIL,Miles Mikolas†(R),Brett Anderson†(L),W†114,O†9
150,Tuesday Sep 21,STL,W,2,1,,81-69,2,9.5,Woodford,Woodruff,Gallegos,3:24,N,30475,0.97,++++++++++,†@ MIL,Jake Woodford†(R),Brandon Woodruff†(R),W†177,U†7.5
149,Monday Sep 20,STL,W,5,2,,80-69,2,10.5,Lester,Peralta,Garcia,2:43,N,28291,1.12,+++++++++,†@ MIL,Jon Lester†(L),Freddy Peralta†(R),W†168,U†8
148,Sunday Sep 19,STL,W,8,7,,79-69,2,11.5,Reyes,Arrieta,Gallegos,3:16,D,35326,1.89,++++++++,†SD,J.A. Happ†(L),Jake Arrieta†(R),W†-107,O†9
