game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
161,Sunday Oct 3,ATL,W,5,0,,88-73,1,up 6.5,Strider,Syndergaard,,2:26,D,33203,0,++,†NYM,Charlie Morton†(R),Noah Syndergaard†(R),W†-163,U†8.5
160,Saturday Oct 2,ATL,W,6,5,,87-73,1,up 5.5,Smyly,Carrasco,Webb,3:13,N,37616,0,+,†NYM,Jesse Chavez†(R),Carlos Carrasco†(R),W†-112,O†8.5
159,Friday Oct 1,ATL,L,3,4,,86-73,1,up 4.5,Megill,Ynoa,Diaz,3:02,N,32659,0,-,†NYM,Huascar Ynoa†(R),Tylor Megill†(R),L†-113,U†8.5
158,Thursday Sep 30,ATL,W,5,3,,86-72,1,up 5.5,Anderson,Gibson,Smith,2:53,N,38235,0,++++++,†PHI,Ian Anderson†(R),Kyle Gibson†(R),W†-154,U†8.5
157,Wednesday Sep 29,ATL,W,7,2,,85-72,1,up 4.5,Fried,Nola,,3:05,N,27664,0.74,+++++,†PHI,Max Fried†(L),Aaron Nola†(R),W†-149,O†8
156,Tuesday Sep 28,ATL,W,2,1,,84-72,1,up 3.5,Morton,Wheeler,Smith,2:46,N,29238,2.89,++++,†PHI,Charlie Morton†(R),Zack Wheeler†(R),W†-118,U†7.5
155,Sunday Sep 26,ATL,W,4,3,,83-72,1,up 2.5,Minter,Johnson,Smith,3:48,D,41294,2.55,+++,†@ SD,Jesse Chavez†(R),Joe Musgrove†(R),W†114,U†8
154,Saturday Sep 25,ATL,W,10,8,10,82-72,1,up 1.5,Rodriguez,Hudson,Smith,4:07,D,39026,2.5,++,†@ SD,Huascar Ynoa†(R),Vince Velasquez†(R),W†-113,O†9
153,Friday Sep 24,ATL,W,4,0,,81-72,1,up 1.5,Fried,Knehr,,2:28,N,33265,1.76,+,†@ SD,Max Fried†(L),Reiss Knehr†(R),W†-126,U†8.5
152,Thursday Sep 23,ATL,L,4,6,,80-72,1,up 1.5,Poppen,Webb,Wendelken,2:56,D,6880,1.36,-,†@ ARI,Charlie Morton†(R),Madison Bumgarner†(L),L†-202,O†8.5
151,Wednesday Sep 22,ATL,W,9,2,,80-71,1,up 2.5,Anderson,Kelly,,3:00,N,10631,1.24,++++,†@ ARI,Ian Anderson†(R),Merrill Kelly†(R),W†-163,O†9.5
150,Tuesday Sep 21,ATL,W,6,1,,79-71,1,up 2.5,Smyly,Weaver,,3:07,N,8879,1.3,+++,†@ ARI,Jesse Chavez†(R),Luke Weaver†(R),W†-145,U†9.5
149,Monday Sep 20,ATL,W,11,4,,78-71,1,up 2.5,Webb,Mejia,,3:29,N,9642,1.98,++,†@ ARI,Huascar Ynoa†(R),Humberto Mejia†(R),W†-175,O†9
148,Sunday Sep 19,ATL,W,3,0,,77-71,1,up 1.5,Fried,DeSclafani,Smith,2:51,D,32210,2.53,+,†@ SF,Max Fried†(L),Anthony DeSclafani†(R),W†109,U†8.5
147,Saturday Sep 18,ATL,L,0,2,,76-71,1,up 0.5,Littell,Morton,Leone,2:40,N,32058,1.94,----,†@ SF,Charlie Morton†(R),Alex Wood†(L),L†-111,U†7.5
146,Friday Sep 17,ATL,L-wo,5,6,11,76-70,1,up 1.5,Doval,Webb,,3:15,N,26644,1.6,---,†@ SF,Ian Anderson†(R),Logan Webb†(R),L†149,O†7.5
145,Wednesday Sep 15,ATL,L,2,3,10,76-69,1,up 3.0,Estevez,Minter,Stephenson,4:16,N,21382,1.29,--,†COL,Huascar Ynoa†(R),Antonio Senzatela†(R),L†-213,U†8.5
144,Tuesday Sep 14,ATL,L,4,5,,76-68,1,up 4.0,Gray,Toussaint,Estevez,3:12,N,22579,1.31,-,†COL,Touki Toussaint†(R),Jon Gray†(R),L†-145,P†9
143,Sunday Sep 12,ATL,W,5,3,,76-67,1,up 4.0,Webb,Bass,Smith,3:17,D,27847,1.81,+,†MIA,Max Fried†(L),Edward Cabrera†(R),W†-276,U†8.5
