game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
94,Saturday Jul 13,LAD,W,11,2,,61-33,1,up13.5,Stripling,Sale,,3:40,N,36607,0.34,+, @ BOS,Ross Stripling (R),Chris Sale (L),W 154,O 9.5
93,Friday Jul 12,LAD,L,1,8,,60-33,1,up12.5,Rodriguez,Maeda,,2:52,N,36579,0.31,----, @ BOS,Kenta Maeda (R),Eduardo Rodriguez (L),L 104,U 10.5
92,Sunday Jul 7,LAD,L,3,5,,60-32,1,up13.5,Lucchesi,Stripling,Yates,2:58,D,44171,0.3,---, SD,Ross Stripling (R),Joey Lucchesi (L),L -153,U 8.5
91,Saturday Jul 6,LAD,L,1,3,,60-31,1,up14.5,Wingenter,Maeda,Yates,2:52,N,53610,0.21,--, SD,Kenta Maeda (R),Chris Paddack (R),L -168,U 8.5
90,Friday Jul 5,LAD,L,2,3,,60-30,1,up14.5,Stammen,Garcia,Yates,2:58,N,49790,0.2,-, SD,Clayton Kershaw (L),Eric Lauer (L),L -193,U 8.5
89,Thursday Jul 4,LAD,W,5,1,,60-29,1,up14.5,Ryu,Lamet,,3:02,N,53801,0.25,++++, SD,Hyun Jin Ryu (L),Dinelson Lamet (R),W -224,U 8.5
88,Wednesday Jul 3,LAD,W-wo,5,4,10,59-29,1,up14.0,Kelly,LÃ³pez,,3:19,N,53327,0.33,+++, ARI,Walker Buehler (R),Merrill Kelly (R),W -214,O 8
87,Tuesday Jul 2,LAD,W-wo,5,4,,58-29,1,up13.0,Garcia,Holland,,3:26,N,52969,0.44,++, ARI,Ross Stripling (R),Taylor Clarke (R),W -218,P 9
86,Sunday Jun 30,LAD,W,10,5,,57-29,1,up12.0,Floro,Bettis,,4:01,D,47713,0.59,+, @ COL,Kenta Maeda (R),Chi Chi Gonzalez (R),W -148,O 13.5
85,Saturday Jun 29,LAD,L,3,5,,56-29,1,up11.0,Gray,Kershaw,Davis,2:43,N,48101,0.5,--, @ COL,Clayton Kershaw (L),Jon Gray (R),L -152,U 12
84,Friday Jun 28,LAD,L,9,13,,56-28,1,up12.0,Senzatela,Ryu,,3:31,N,46065,0.42,-, @ COL,Hyun Jin Ryu (L),Antonio Senzatela (R),L -197,O 13
83,Thursday Jun 27,LAD,W,12,8,,56-27,1,up13.0,Baez,Davis,,3:32,N,47452,0.5,+, @ COL,Walker Buehler (R),Peter Lambert (R),W -212,O 12
82,Wednesday Jun 26,LAD,L,2,8,,55-27,1,up12.0,Clarke,Gonsolin,,3:01,D,28752,0.37,-, @ ARI,Tony Gonsolin (R),Taylor Clarke (R),L -153,O 9.5
81,Tuesday Jun 25,LAD,W,3,2,,55-26,1,up13.0,Urias,Ray,Jansen,3:07,N,27927,0.45,+, @ ARI,Ross Stripling (R),Robbie Ray (L),W 109,U 9.5
80,Monday Jun 24,LAD,L,5,8,,54-26,1,up12.0,LÃ³pez,Floro,Holland,3:12,N,24675,0.36,-, @ ARI,Clayton Kershaw (L),Zack Greinke (R),L -128,O 8.5
79,Sunday Jun 23,LAD,W-wo,6,3,,54-25,1,up13.0,Jansen,Oberg,,3:10,D,50023,0.52,++++++, COL,Kenta Maeda (R),Antonio Senzatela (R),W -254,P 9
78,Saturday Jun 22,LAD,W-wo,5,4,11,53-25,1,up12.0,Kelly,Tinoco,,4:15,D,53096,0.65,+++++, COL,Hyun Jin Ryu (L),Peter Lambert (R),W -243,O 8.5
77,Friday Jun 21,LAD,W-wo,4,2,,52-25,1,up11.0,Buehler,Diaz,,2:12,N,54044,0.77,++++, COL,Walker Buehler (R),German Marquez (R),W -190,U 7.5
76,Thursday Jun 20,LAD,W,9,8,,51-25,1,up10.0,Chargois,Bumgarner,Jansen,3:25,N,43742,0.64,+++, SF,Julio Urias (L),Madison Bumgarner (L),W -170,O 7.5
75,Wednesday Jun 19,LAD,W,9,2,,50-25,1,up10.0,Floro,Pomeranz,,2:47,N,43802,0.72,++, SF,Rich Hill (L),Drew Pomeranz (L),W -228,O 7.5
74,Tuesday Jun 18,LAD,W,9,0,,49-25,1,up10.0,Kershaw,Anderson,,2:59,N,48219,0.78,+, SF,Clayton Kershaw (L),Shaun Anderson (R),W -248,O 7.5
73,Monday Jun 17,LAD,L,2,3,,48-25,1,up10.0,Beede,Maeda,Smith,3:11,N,42479,0.67,-, SF,Kenta Maeda (R),Tyler Beede (R),L -243,U 8.5
72,Sunday Jun 16,LAD,W,3,2,,48-24,1,up10.5,Stripling,Cishek,Jansen,3:05,D,53817,0.78,+, CHC,Hyun Jin Ryu (L),Jose Quintana (L),W -168,U 8
71,Saturday Jun 15,LAD,L,1,2,,47-24,1,up 9.5,Ryan,Jansen,Strop,2:49,N,51596,0.68,-, CHC,Walker Buehler (R),Yu Darvish (R),L -182,U 8
70,Friday Jun 14,LAD,W,5,3,,47-23,1,up10.5,Hill,Hendricks,Jansen,3:06,N,46631,0.77,++, CHC,Rich Hill (L),Kyle Hendricks (R),W -151,O 7.5
69,Thursday Jun 13,LAD,W,7,3,,46-23,1,up 9.5,Kershaw,Lester,Urias,2:48,N,44970,0.82,+, CHC,Clayton Kershaw (L),Jon Lester (L),W -175,O 8
68,Tuesday Jun 11,LAD,L,3,5,,45-23,1,up 9.0,Pena,Maeda,Robles,3:51,N,45404,0.72,--, @ LAA,Kenta Maeda (R),Cam Bedrosian (R),L -148,U 9.5
67,Monday Jun 10,LAD,L,3,5,,45-22,1,up10.0,Buttrey,Kelly,Robles,3:19,N,45477,0.64,-, @ LAA,Hyun Jin Ryu (L),Griffin Canning (R),L -181,U 9
66,Sunday Jun 9,LAD,W,1,0,,45-21,1,up11.0,Buehler,Bumgarner,Jansen,2:31,D,34098,0.76,++, @ SF,Walker Buehler (R),Madison Bumgarner (L),W -155,U 7.5
65,Saturday Jun 8,LAD,W,7,2,,44-21,1,up10.0,Hill,Samardzija,,3:41,D,37784,0.82,+, @ SF,Rich Hill (L),Jeff Samardzija (R),W -208,O 8.5
64,Friday Jun 7,LAD,L,1,2,,43-21,1,up 9.0,Moronta,Kershaw,Smith,2:31,N,35157,0.73,--, @ SF,Clayton Kershaw (L),Drew Pomeranz (L),L -238,U 7.5
63,Wednesday Jun 5,LAD,L-wo,2,3,11,43-20,1,up10.5,Godley,Alexander,,3:27,D,22753,0.73,-, @ ARI,Kenta Maeda (R),Jon Duplantier (R),L -165,U 9.5
62,Tuesday Jun 4,LAD,W,9,0,,43-19,1,up10.5,Ryu,Clarke,,3:07,N,29784,0.87,+++++++, @ ARI,Hyun Jin Ryu (L),Taylor Clarke (R),W -208,U 10
61,Monday Jun 3,LAD,W,3,1,,42-19,1,up 9.5,Buehler,Ray,Jansen,2:26,N,24124,0.97,++++++, @ ARI,Walker Buehler (R),Robbie Ray (L),W -130,U 8.5
