game,date,result and moneyline
161,Sunday Sep 29,L 129
160,Saturday Sep 28 (2),W 144
159,Saturday Sep 28 (1),L 120
158,Thursday Sep 26,L 120
157,Wednesday Sep 25,L 172
156,Tuesday Sep 24,L 209
155,Sunday Sep 22,W -101
154,Saturday Sep 21,L 121
153,Friday Sep 20,L 123
152,Thursday Sep 19,L 356
151,Wednesday Sep 18,L 257
150,Tuesday Sep 17,L 263
149,Monday Sep 16,W 138
148,Sunday Sep 15,L 132
147,Saturday Sep 14,W -111
146,Friday Sep 13,L -114
145,Thursday Sep 12 (2),L 252
144,Thursday Sep 12 (1),L 201
143,Tuesday Sep 10,W 273
142,Sunday Sep 8,L 279
141,Saturday Sep 7,L 287
140,Friday Sep 6,W 276
139,Thursday Sep 5,W 100
138,Wednesday Sep 4,L 203
137,Tuesday Sep 3,L 135
136,Monday Sep 2,L 196
135,Sunday Sep 1,L 171
134,Saturday Aug 31,W 137
133,Friday Aug 30,L 256
132,Thursday Aug 29,L 239
131,Wednesday Aug 28,L 204
130,Tuesday Aug 27,L 142
129,Sunday Aug 25,L 185
128,Saturday Aug 24,L 290
127,Friday Aug 23,W 297
126,Thursday Aug 22,L 431
125,Wednesday Aug 21,W 430
124,Tuesday Aug 20,L 238
123,Monday Aug 19,L 365
122,Sunday Aug 18,L 172
121,Saturday Aug 17,L 279
120,Friday Aug 16,W 291
119,Thursday Aug 15,L -101
118,Wednesday Aug 14,W 151
117,Tuesday Aug 13,L -159
116,Sunday Aug 11,L 117
115,Saturday Aug 10,L -129
114,Friday Aug 9,W 145
113,Thursday Aug 8,W -154
112,Wednesday Aug 7,L 113
111,Tuesday Aug 6 (2),W -115
110,Tuesday Aug 6 (1),L -102
109,Monday Aug 5,L 126
108,Sunday Aug 4,L 173
107,Saturday Aug 3,L -105
106,Friday Aug 2,L 215
105,Wednesday Jul 31,W 174
104,Tuesday Jul 30,L 251
103,Monday Jul 29,W 225
102,Sunday Jul 28,L 100
101,Saturday Jul 27,L 145
100,Friday Jul 26,L 118
99,Thursday Jul 25,L 145
98,Wednesday Jul 24,L 140
97,Tuesday Jul 23,L 126
96,Sunday Jul 21,W 111
95,Saturday Jul 20,L 113
94,Friday Jul 19,L 146
93,Thursday Jul 18,L 197
92,Wednesday Jul 17,L 277
91,Tuesday Jul 16,L 205
90,Monday Jul 15,L 189
89,Sunday Jul 14,W 129
88,Saturday Jul 13,L -109
87,Friday Jul 12,L 126
86,Sunday Jul 7,L 258
85,Saturday Jul 6,L 157
84,Friday Jul 5,L 220
83,Thursday Jul 4,W -104
82,Wednesday Jul 3 (2),L 117
81,Wednesday Jul 3 (1),L 139
80,Sunday Jun 30,L 281
79,Saturday Jun 29,W 176
78,Friday Jun 28,L 154
77,Thursday Jun 27,L 106
76,Wednesday Jun 26,L 108
75,Tuesday Jun 25,L 140
74,Sunday Jun 23,L 168
73,Saturday Jun 22,L 171
72,Friday Jun 21,L 175
71,Wednesday Jun 19,L 192
70,Tuesday Jun 18,W 150
69,Sunday Jun 16,L 151
68,Saturday Jun 15,L 215
67,Friday Jun 14,L 147
66,Thursday Jun 13,L -135
65,Wednesday Jun 12,W 110
64,Tuesday Jun 11,L 125
63,Sunday Jun 9,L 195
62,Saturday Jun 8,W 201
61,Friday Jun 7,L 116
60,Thursday Jun 6,L 164
59,Wednesday Jun 5,L 178
58,Tuesday Jun 4,W 230
57,Sunday Jun 2,L 159
56,Saturday Jun 1,L 237
55,Friday May 31,W 180
54,Wednesday May 29,W 120
53,Tuesday May 28,W -108
52,Monday May 27,L 100
51,Sunday May 26,L 156
50,Saturday May 25,L 162
49,Friday May 24,W 253
48,Thursday May 23,L -146
47,Wednesday May 22,L -114
46,Tuesday May 21,L -106
45,Sunday May 19,L 180
44,Saturday May 18,L 107
43,Friday May 17,L 180
42,Thursday May 16,L 138
41,Wednesday May 15,L 314
40,Tuesday May 14,L 197
39,Monday May 13,L 147
38,Sunday May 12,W 157
37,Saturday May 11 (2),L 190
36,Saturday May 11 (1),W 143
35,Friday May 10,L 190
34,Thursday May 9,L 154
33,Wednesday May 8,W -113
32,Tuesday May 7,L 125
31,Sunday May 5,W -120
30,Saturday May 4,L -112
29,Friday May 3,W -140
28,Wednesday May 1,L 214
27,Tuesday Apr 30,W 177
26,Sunday Apr 28,L -114
25,Friday Apr 26,L 122
24,Thursday Apr 25,L 201
23,Wednesday Apr 24,L 199
22,Tuesday Apr 23 (2),W 161
21,Tuesday Apr 23 (1),W 203
20,Sunday Apr 21,W -112
19,Friday Apr 19,L -108
18,Thursday Apr 18,W -105
17,Wednesday Apr 17,L -101
16,Tuesday Apr 16,L -108
15,Sunday Apr 14,L 210
14,Saturday Apr 13,L 185
13,Thursday Apr 11,L 122
12,Wednesday Apr 10,W 132
11,Tuesday Apr 9,L 124
10,Sunday Apr 7,W 103
9,Saturday Apr 6,W -125
8,Thursday Apr 4,W 103
7,Wednesday Apr 3,W 159
6,Tuesday Apr 2,W 195
5,Monday Apr 1,L 190
4,Sunday Mar 31,W 141
3,Saturday Mar 30,L 115
2,Friday Mar 29,L 113
1,Thursday Mar 28,W 133
