game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
107,Sunday Jul 28,MIL,L,4,11,,56-51,3,1,Brach,Davies,,2:56,D,43544,2.04,-, CHC,Zach Davies (R),Jose Quintana (L),L -114,O 10
106,Saturday Jul 27,MIL,W-wo,5,3,10,56-50,2,1,Peralta,Kimbrel,,3:32,N,43931,1.84,+++, CHC,Chase Anderson (R),Jon Lester (L),W -109,U 9.5
105,Friday Jul 26,MIL,W,3,2,,55-50,3,2,Houser,Kintzler,Hader,3:09,N,40566,1.77,++, CHC,Gio Gonzalez (L),Kyle Hendricks (R),W -117,U 9.5
104,Wednesday Jul 24,MIL,W,5,4,,54-50,3,2,Albers,Sims,Peralta,3:15,D,39682,1.47,+, CIN,Jhoulys Chacin (R),Lucas Sims (R),W -159,U 10
103,Tuesday Jul 23,MIL,L,6,14,,53-50,3,2,Roark,Davies,Romano,3:28,N,33512,1.53,--, CIN,Zach Davies (R),Tanner Roark (R),L -149,O 9.5
102,Monday Jul 22,MIL,L,5,6,,53-49,3,2,Peralta,Jeffress,Hughes,3:33,N,26235,1.54,-, CIN,Chase Anderson (R),Sonny Gray (R),L -111,O 8.5
101,Sunday Jul 21,MIL,W,7,4,,53-48,2,2,Peralta,LÃ³pez,Hader,3:39,D,33111,1.51,++, @ ARI,Brandon Woodruff (R),Alex Young (L),W -122,O 8.5
100,Saturday Jul 20,MIL,W,8,3,,52-48,2,3,Houser,Chafin,,3:17,N,38567,1.44,+, @ ARI,Gio Gonzalez (L),Zack Greinke (R),W 139,O 9
99,Friday Jul 19,MIL,L,7,10,,51-48,3,3,Bradley,Chacin,Holland,3:44,N,28505,1.53,-, @ ARI,Jhoulys Chacin (R),Taylor Clarke (R),L -128,O 10.5
98,Thursday Jul 18,MIL,W,5,1,,51-47,2,2,Davies,LÃ³pez,,2:59,N,23985,1.44,+++, @ ARI,Zach Davies (R),Merrill Kelly (R),W -102,U 9.5
97,Wednesday Jul 17,MIL,W,5,4,,50-47,2,2.5,Anderson,Keuchel,Hader,3:07,D,36928,1.33,++, ATL,Chase Anderson (R),Dallas Keuchel (L),W 100,U 10
96,Tuesday Jul 16,MIL,W,13,1,,49-47,2,2.5,Woodruff,Wilson,,3:29,N,31599,1.28,+, ATL,Brandon Woodruff (R),Bryse Wilson (R),W -159,O 9.5
95,Monday Jul 15,MIL,L,2,4,,48-47,3,2.5,Fried,Houser,Jackson,3:02,N,31850,1.33,--, ATL,Adrian Houser (R),Max Fried (L),L -106,U 10
94,Sunday Jul 14,MIL,L,3,8,,48-46,2,2.5,Beede,Burnes,,3:26,D,43259,1.43,-, SF,Jhoulys Chacin (R),Tyler Beede (R),L -188,O 10
93,Saturday Jul 13,MIL,W-wo,5,4,,48-45,2,1.5,Jeffress,Moronta,,3:54,N,42324,1.36,+, SF,Zach Davies (R),Madison Bumgarner (L),W -117,P 9
92,Friday Jul 12,MIL,L,7,10,10,47-45,2,1.5,Smith,Albers,,3:33,N,40186,1.44,---, SF,Chase Anderson (R),Shaun Anderson (R),L -180,O 9.5
91,Sunday Jul 7,MIL,L,5,6,,47-44,2,0.5,Liriano,Guerra,Vazquez,3:04,D,17624,1.7,--, @ PIT,Chase Anderson (R),Joe Musgrove (R),L 107,O 9
90,Saturday Jul 6,MIL,L,2,12,,47-43,2,0.5,Agrazal,Houser,,3:26,N,28038,1.67,-, @ PIT,Adrian Houser (R),Dario Agrazal (R),L -128,O 10.5
89,Friday Jul 5,MIL,W,7,6,10,47-42,1,up 0.5,Guerra,Vazquez,,4:13,N,23229,1.68,+, @ PIT,Zach Davies (R),Steven Brault (L),W -103,O 10
88,Thursday Jul 4,MIL,L,0,1,,46-42,1,Tied,Castillo,Woodruff,Iglesias,2:19,D,20885,1.67,---, @ CIN,Brandon Woodruff (R),Luis Castillo (R),L -111,U 9
87,Wednesday Jul 3,MIL,L,0,3,,46-41,1,up 1.0,Gray,Chacin,Iglesias,2:40,N,22685,1.69,--, @ CIN,Jhoulys Chacin (R),Sonny Gray (R),L 135,U 9.5
86,Tuesday Jul 2,MIL,L-wo,4,5,11,46-40,1,up 1.0,Iglesias,Burnes,,3:19,N,15105,1.65,-, @ CIN,Chase Anderson (R),Tanner Roark (R),L -102,U 10.5
85,Monday Jul 1,MIL,W,8,6,,46-39,1,up 1.0,Claudio,Hernandez,Jeffress,3:10,N,16186,1.65,+++, @ CIN,Adrian Houser (R),Tyler Mahle (R),W -111,O 10
84,Sunday Jun 30,MIL,W,2,1,,45-39,1,Tied,Jeffress,Crick,Albers,3:40,D,41257,1.61,++, PIT,Zach Davies (R),Steven Brault (L),W -157,U 10.5
83,Saturday Jun 29,MIL,W,3,1,,44-39,2,1,Woodruff,Lyles,Hader,2:52,N,37821,1.61,+, PIT,Brandon Woodruff (R),Jordan Lyles (R),W -205,U 9
82,Friday Jun 28,MIL,L,2,3,,43-39,2,1,Vazquez,Jeffress,,3:00,N,33931,1.59,-, PIT,Jhoulys Chacin (R),Chris Archer (R),L -146,U 10.5
81,Thursday Jun 27,MIL,W,4,2,,43-38,2,1,Anderson,Leake,Hader,2:34,D,36587,1.4,+, SEA,Chase Anderson (R),Mike Leake (R),W -196,U 10
80,Wednesday Jun 26,MIL,L,2,4,,42-38,2,1,LeBlanc,Houser,Elias,3:11,N,30074,1.39,--, SEA,Adrian Houser (R),Matt Carasiti (R),L -217,U 10
79,Tuesday Jun 25,MIL,L,3,8,,42-37,2,1,Gonzales,Davies,,3:38,N,28468,1.4,-, SEA,Zach Davies (R),Marco Gonzales (L),L -171,O 10.5
78,Sunday Jun 23,MIL,W,7,5,,42-36,2,0.5,Woodruff,DeSclafani,,2:50,D,41237,1.53,++, CIN,Brandon Woodruff (R),Anthony DeSclafani (R),W -188,O 9
