game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
96,Friday Jul 19,CLE,W,10,5,,56-40,2,3,Bieber,Montgomery,,3:20,N,26640,1.4,++++++, KC,Shane Bieber (R),Mike Montgomery (L),W -291,O 10
95,Thursday Jul 18,CLE,W,6,3,,55-40,2,4,Bauer,Boyd,Hand,3:06,N,17500,1.42,+++++, DET,Trevor Bauer (R),Matthew Boyd (L),W -215,O 8.5
94,Wednesday Jul 17,CLE,W,7,2,,54-40,2,4,Clevinger,Turnbull,Wittgren,2:59,N,18894,1.37,++++, DET,Mike Clevinger (R),Spencer Turnbull (R),W -307,O 8.5
93,Tuesday Jul 16,CLE,W,8,0,,53-40,2,5,Goody,Carpenter,,2:23,N,16769,1.29,+++, DET,Zach Plesac (R),Ryan Carpenter (L),W -250,U 10.5
92,Monday Jul 15,CLE,W,8,6,,52-40,2,6,Wittgren,Alcantara,Hand,2:55,N,15735,1.23,++, DET,Adam Plutko (R),Daniel Norris (L),W -206,O 10.5
91,Sunday Jul 14,CLE,W,4,3,,51-40,2,6.5,Cimber,May,Hand,3:00,D,25194,1.54,+, MIN,Shane Bieber (R),Jose Berrios (R),W -144,U 8.5
90,Saturday Jul 13,CLE,L,2,6,,50-40,2,7.5,Odorizzi,Bauer,,3:24,N,32277,1.67,--, MIN,Trevor Bauer (R),Jake Odorizzi (R),L -136,U 9
89,Friday Jul 12,CLE,L,3,5,,50-39,2,6.5,Littell,Perez,Rogers,3:44,N,30857,1.83,-, MIN,Mike Clevinger (R),Kyle Gibson (R),L -140,U 9
88,Sunday Jul 7,CLE,W,11,1,,50-38,2,5.5,Bauer,Mahle,,3:24,D,27041,1.25,++++++, @ CIN,Trevor Bauer (R),Tyler Mahle (R),W -126,O 9
87,Saturday Jul 6,CLE,W,7,2,,49-38,2,6.5,Bieber,Lorenzen,,2:50,D,36504,1.25,+++++, @ CIN,Shane Bieber (R),Anthony DeSclafani (R),W -125,P 9
86,Thursday Jul 4,CLE,W,8,4,,48-38,2,6,Cimber,Lopez,,3:30,D,18076,1.17,++++, @ KC,Zach Plesac (R),Homer Bailey (R),W -125,O 10
85,Wednesday Jul 3,CLE,W,4,0,,47-38,2,7,Clevinger,Duffy,,2:46,N,25049,1.12,+++, @ KC,Mike Clevinger (R),Danny Duffy (L),W -146,U 9
84,Tuesday Jul 2,CLE,W,9,5,,46-38,2,7,Bauer,Junis,,3:22,N,18394,1.06,++, @ KC,Trevor Bauer (R),Jakob Junis (R),W -174,O 9
83,Sunday Jun 30,CLE,W,2,0,,45-38,2,8,Bieber,Ynoa,Hand,2:51,D,20048,0.98,+, @ BAL,Shane Bieber (R),Gabriel Ynoa (R),W -253,U 10.5
82,Saturday Jun 29,CLE,L,0,13,,44-38,2,9,Cashner,Plesac,,2:57,N,26998,1.08,--, @ BAL,Zach Plesac (R),Andrew Cashner (R),L -189,O 10.5
81,Friday Jun 28,CLE,L,0,13,,44-37,2,8,Means,Clevinger,,2:56,N,21248,1.11,-, @ BAL,Mike Clevinger (R),John Means (L),L -206,O 9
80,Wednesday Jun 26,CLE,W,5,3,,44-36,2,8.5,Bauer,Junis,,2:49,D,22246,1.04,+, KC,Trevor Bauer (R),Jakob Junis (R),W -215,U 8.5
79,Tuesday Jun 25,CLE,L,6,8,,43-36,2,8.5,McCarthy,Hand,Kennedy,3:27,N,21766,1.11,-, KC,Shane Bieber (R),Glenn Sparkman (R),L -261,O 9.5
78,Monday Jun 24,CLE,W-wo,3,2,10,43-35,2,7.5,Hand,Peralta,,3:05,N,15413,1.07,++++, KC,Adam Plutko (R),Brad Keller (R),W -187,U 10
77,Sunday Jun 23,CLE,W,8,3,,42-35,2,8,Plesac,Norris,,2:33,D,25790,1,+++, DET,Zach Plesac (R),Daniel Norris (L),W -183,O 9
76,Saturday Jun 22,CLE,W,2,0,,41-35,2,9,Civale,Turnbull,Hand,2:47,D,30103,0.99,++, DET,Aaron Civale (R),Spencer Turnbull (R),W -187,U 9
75,Friday Jun 21,CLE,W,7,6,,40-35,2,9,Cimber,Jimenez,Hand,3:16,N,30717,0.94,+, DET,Trevor Bauer (R),Matthew Boyd (L),W -190,O 7.5
74,Thursday Jun 20,CLE,L,2,4,,39-35,2,9,Minor,Bieber,Kelley,2:35,D,18531,1.07,-, @ TEX,Shane Bieber (R),Mike Minor (L),L -115,U 9
73,Wednesday Jun 19,CLE,W,10,4,,39-34,2,9,Perez,Palumbo,,3:17,N,22906,0.99,++, @ TEX,Adam Plutko (R),Joe Palumbo (L),W -117,O 11
72,Tuesday Jun 18,CLE,W,10,3,,38-34,2,10,Plesac,Sampson,,3:13,N,19223,0.92,+, @ TEX,Zach Plesac (R),Adrian Sampson (R),W -114,O 10.5
