game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
161,Saturday Oct 2,MIL,L,3,8,,95-66,1,up 5.0,Urias,Burnes,,2:53,N,49705,0.02,---,†@ LAD,Corbin Burnes†(R),Julio Urias†(L),L†133,O†7
160,Friday Oct 1,MIL,L,6,8,,95-65,1,up 5.0,Treinen,Gustave,Jansen,3:38,N,51388,0.03,--,†@ LAD,Eric Lauer†(L),Clayton Kershaw†(L),L†193,O†8
159,Thursday Sep 30,MIL,L,3,4,,95-64,1,up 6.0,Happ,Sanchez,Garcia,2:41,D,29161,0.02,-,†@ STL,Brett Anderson†(L),J.A. Happ†(L),L†103,U†8.5
158,Wednesday Sep 29,MIL,W,4,0,,95-63,1,up 7.0,Houser,Mikolas,,2:48,N,35283,0.04,+,†@ STL,Adrian Houser†(R),Miles Mikolas†(R),W†101,U†7.5
157,Tuesday Sep 28,MIL,L,2,6,,94-63,1,up 6.0,Wainwright,Gustave,,2:54,N,35726,0.03,-,†@ STL,Brandon Woodruff†(R),Adam Wainwright†(R),L†-110,O†7
156,Sunday Sep 26,MIL,W,8,4,,94-62,1,up 7.0,Peralta,Carrasco,,3:24,D,43430,0.07,+++,†NYM,Freddy Peralta†(R),Carlos Carrasco†(R),W†-155,O†8
155,Saturday Sep 25,MIL,W,2,1,,93-62,1,up 7.0,Burnes,Hill,Hader,3:16,N,35388,0.09,++,†NYM,Corbin Burnes†(R),Rich Hill†(L),W†-199,U†7.5
154,Friday Sep 24,MIL,W,5,1,,92-62,1,up 7.0,Lauer,Megill,,2:56,N,27452,0.1,+,†NYM,Eric Lauer†(L),Tylor Megill†(R),W†-130,U†8.5
153,Thursday Sep 23,MIL,L,5,8,,91-62,1,up 7.5,McFarland,Ashby,Gallegos,3:31,D,30804,0.07,-----,†STL,Adrian Houser†(R),Adam Wainwright†(R),L†-119,O†7.5
152,Wednesday Sep 22,MIL,L,2,10,,91-61,1,up 8.5,Mikolas,Anderson,,2:57,N,29635,0.08,----,†STL,Brett Anderson†(L),Miles Mikolas†(R),L†-124,O†9
151,Tuesday Sep 21,MIL,L,1,2,,91-60,1,up 9.5,Woodford,Woodruff,Gallegos,3:24,N,30475,0.07,---,†STL,Brandon Woodruff†(R),Jake Woodford†(R),L†-195,U†7.5
150,Monday Sep 20,MIL,L,2,5,,91-59,1,up10.5,Lester,Peralta,Garcia,2:43,N,28291,0.08,--,†STL,Freddy Peralta†(R),Jon Lester†(L),L†-184,U†8
149,Sunday Sep 19,MIL,L,4,6,,91-58,1,up11.5,Morgan,Boxberger,Rucker,3:46,D,34213,0.05,-,†CHC,Eric Lauer†(L),Keegan Thompson†(R),L†-215,O†9
148,Saturday Sep 18,MIL,W,6,4,,91-57,1,up12.5,Williams,Effross,Hader,3:35,N,33625,0.06,++,†CHC,Corbin Burnes†(R),Justin Steele†(L),W†-319,O†7.5
147,Friday Sep 17,MIL,W,8,5,,90-57,1,up12.5,Ashby,Wick,Hader,3:45,N,28483,0.06,+,†CHC,Adrian Houser†(R),Zach Davies†(R),W†-218,O†9
146,Wednesday Sep 15,MIL,L,1,4,,89-57,1,up12.5,Manning,Woodruff,Fulmer,2:46,D,11321,0.05,--,†@ DET,Brandon Woodruff†(R),Matt Manning†(R),L†-228,U†8.5
145,Tuesday Sep 14,MIL,L-wo,0,1,11,89-56,1,up13.5,Garcia,Strickland,,3:16,N,12433,0.06,-,†@ DET,Freddy Peralta†(R),Wily Peralta†(R),L†-199,U†9
144,Sunday Sep 12,MIL,W,11,1,,89-55,1,up14.0,Lauer,Civale,Ashby,2:59,D,16332,0.06,+++++,†@ CLE,Eric Lauer†(L),Aaron Civale†(R),W†-109,O†9.5
143,Saturday Sep 11,MIL,W,3,0,,88-55,1,up13.0,Burnes,Plesac,Hader,2:39,N,20100,0.07,++++,†@ CLE,Corbin Burnes†(R),Zach Plesac†(R),W†-192,U†8.5
142,Friday Sep 10,MIL,W,10,3,,87-55,1,up12.0,Houser,Morgan,,3:24,N,17667,0.07,+++,†@ CLE,Adrian Houser†(R),Eli Morgan†(R),W†-136,O†9
141,Wednesday Sep 8,MIL,W,4,3,,86-55,1,up12.0,Ashby,Brogdon,Hader,3:29,N,20654,0.09,++,†PHI,Freddy Peralta†(R),Kyle Gibson†(R),W†-157,U†8
140,Tuesday Sep 7,MIL,W,10,0,,85-55,1,up11.0,Lauer,Nola,,3:05,N,22955,0.09,+,†PHI,Eric Lauer†(L),Aaron Nola†(R),W†-109,O†8.5
139,Monday Sep 6,MIL,L,0,12,,84-55,1,up11.0,Wheeler,Woodruff,,3:21,D,30192,0.1,-,†PHI,Brandon Woodruff†(R),Zack Wheeler†(R),L†-130,O†7
138,Sunday Sep 5,MIL,W-wo,6,5,,84-54,1,up11.0,Sanchez,Reyes,,4:08,D,33845,0.12,++,†STL,Corbin Burnes†(R),Jon Lester†(L),W†-214,O†7.5
137,Saturday Sep 4,MIL,W,4,0,,83-54,1,up10.0,Houser,Kim,,2:26,N,33439,0.18,+,†STL,Adrian Houser†(R),Kwang-hyun Kim†(L),W†-121,U†8
136,Friday Sep 3,MIL,L,4,15,,82-54,1,up10.0,Wainwright,Peralta,,3:24,N,23987,0.17,--,†STL,Freddy Peralta†(R),Adam Wainwright†(R),L†-162,O†7.5
135,Thursday Sep 2,MIL,L,1,5,,82-53,1,up10.0,Rogers,Williams,,2:31,D,21023,0.15,-,†@ SF,Eric Lauer†(L),Logan Webb†(R),L†162,U†7.5
134,Wednesday Sep 1,MIL,W,5,2,,82-52,1,up10.5,Norris,Leone,Hader,3:45,N,21189,0.15,++++,†@ SF,Brett Anderson†(L),Kevin Gausman†(R),W†163,U†8
133,Tuesday Aug 31,MIL,W,6,2,,81-52,1,up10.0,Woodruff,Cueto,,3:10,N,20897,0.19,+++,†@ SF,Brandon Woodruff†(R),Johnny Cueto†(R),W†-121,O†7.5
132,Monday Aug 30,MIL,W,3,1,,80-52,1,up 9.5,Burnes,Alvarez,Hader,3:15,N,23154,0.25,++,†@ SF,Corbin Burnes†(R),Jose Alvarez†(L),W†-137,U†7.5
131,Sunday Aug 29,MIL,W,6,2,,79-52,1,up 8.5,Ashby,Jax,,2:52,D,26186,0.4,+,†@ MIN,Aaron Ashby†(L),Griffin Jax†(R),W†-148,U†9.5
130,Saturday Aug 28,MIL,L,4,6,,78-52,1,up 7.5,Thielbar,Houser,Colome,2:47,N,29342,0.36,---,†@ MIN,Adrian Houser†(R),Charlie Barnes†(L),L†-137,P†10
129,Friday Aug 27,MIL,L,0,2,,78-51,1,up 7.5,Albers,Lauer,Colome,3:22,N,20280,0.23,--,†@ MIN,Eric Lauer†(L),Andrew Albers†(L),L†-125,U†9.5
128,Thursday Aug 26,MIL,L,1,5,,78-50,1,up 8.5,Gray,Anderson,,3:00,D,28656,0.3,-,†CIN,Brett Anderson†(L),Sonny Gray†(R),L†105,U†9
